filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.775723,23.311854,ok
EES0423311__X15__Y06__P002.jpg,0.624527,17.764625,ok
EES0423311__X15__Y09__P003.jpg,0.743708,22.281822,ok
EES0423311__X15__Y39__P004.jpg,0.719650,22.241310,ok
EES0423311__X18__Y06__P005.jpg,0.776647,22.343499,ok
EES0423311__X18__Y3C__P006.jpg,0.743728,22.377655,ok
EES0423311__X1B__Y3F__P007.jpg,0.747779,24.365361,ok
EES0423311__X1E__Y03__P008.jpg,0.815428,24.303270,ok
EES0423311__X1E__Y3F__P009.jpg,0.715539,20.868690,ok
EES0423311__X24__Y42__P010.jpg,0.684714,18.903831,ok
EES0423311__X27__Y42__P011.jpg,0.683261,18.784152,ok
EES0423311__X2A__Y42__P012.jpg,0.807556,20.693401,ok
EES0423311__X2D__Y42__P013.jpg,0.719009,17.918774,ok
EES0423311__X33__Y3F__P014.jpg,0.764241,23.704846,ok
EES0423311__X36__Y3F__P015.jpg,0.733349,21.632717,ok
EES0423311__X39__Y06__P016.jpg,0.744148,21.322939,ok
EES0423311__X39__Y3C__P017.jpg,0.706985,18.210183,ok
EES0423311__X3C__Y09__P018.jpg,0.844729,30.232748,ok
EES0423311__X3C__Y39__P019.jpg,0.722980,22.387361,ok
EES0423311__X3F__Y0C__P020.jpg,0.736385,18.377068,ok
EES0423311__X3F__Y36__P021.jpg,0.705903,19.867715,ok
EES0423311__X42__Y0F__P022.jpg,0.789325,24.119829,ok
EES0423311__X42__Y33__P023.jpg,0.697962,16.751762,ok
EES0423311__X45__Y15__P024.jpg,0.772947,24.964941,ok
EES0423311__X45__Y2A__P025.jpg,0.724129,19.537871,ok
EES0423312__X12__Y1E__P001.jpg,0.809252,22.394428,ok
EES0423312__X12__Y21__P002.jpg,0.692705,17.555269,ok
EES0423312__X12__Y24__P003.jpg,0.822543,21.042883,ok
EES0423312__X12__Y27__P004.jpg,0.747422,20.844020,ok
EES0423312__X12__Y2A__P005.jpg,0.623550,16.860240,ok
EES0423312__X12__Y2D__P006.jpg,0.816609,23.455723,ok
EES0423312__X12__Y30__P007.jpg,0.687385,16.745191,ok
EES0423312__X12__Y33__P008.jpg,0.762141,17.913781,ok
EES0423312__X15__Y0F__P009.jpg,0.855970,26.170988,ok
EES0423312__X15__Y12__P010.jpg,0.790704,20.247057,ok
EES0423312__X15__Y33__P011.jpg,0.785220,25.491446,ok
EES0423312__X18__Y0C__P012.jpg,0.784998,19.532388,ok
EES0423312__X18__Y36__P013.jpg,0.834445,31.905509,ok
EES0423312__X18__Y39__P014.jpg,0.687535,18.413075,ok
EES0423312__X18__Y42__P015.jpg,0.798313,22.485388,ok
EES0423312__X18__Y45__P016.jpg,0.726849,18.838687,ok
EES0423312__X1B__Y39__P017.jpg,0.721320,17.345306,ok
EES0423312__X1B__Y42__P018.jpg,0.831331,22.445063,ok
EES0423312__X1E__Y09__P019.jpg,0.782967,21.762047,ok
EES0423312__X1E__Y3C__P020.jpg,0.832826,24.020637,ok
EES0423312__X1E__Y42__P021.jpg,0.757269,21.437483,ok
EES0423312__X21__Y3C__P022.jpg,0.736293,18.688419,ok
EES0423312__X21__Y42__P023.jpg,0.700359,17.201365,ok
EES0423312__X24__Y06__P024.jpg,0.742803,20.410201,ok
EES0423312__X24__Y3F__P025.jpg,0.726754,19.506567,ok
EES0423313__X0F__Y27__P001.jpg,0.808059,23.726328,ok
EES0423313__X12__Y0F__P002.jpg,0.755609,18.409607,ok
EES0423313__X12__Y2D__P003.jpg,0.774469,19.543080,ok
EES0423313__X12__Y33__P004.jpg,0.699866,17.135742,ok
EES0423313__X15__Y0C__P005.jpg,0.763143,19.999096,ok
EES0423313__X15__Y36__P006.jpg,0.776083,17.483762,ok
EES0423313__X18__Y06__P007.jpg,0.797617,26.154700,ok
EES0423313__X18__Y36__P008.jpg,0.803109,19.370049,ok
EES0423313__X18__Y39__P009.jpg,0.755796,17.723148,ok
EES0423313__X1B__Y3C__P010.jpg,0.792858,19.644150,ok
