filename,ssim,psnr,status
EES0423531__X42__Y15__P001.jpg,0.694543,23.701487,ok
EES0423531__X42__Y39__P002.jpg,0.720064,23.411751,ok
EES0423531__X42__Y3C__P003.jpg,0.858075,26.007037,ok
EES0423531__X45__Y12__P004.jpg,0.880968,30.218954,ok
EES0423531__X45__Y15__P005.jpg,0.699545,23.857749,ok
EES0423531__X45__Y36__P006.jpg,0.817110,23.727826,ok
EES0423531__X45__Y39__P007.jpg,0.852516,30.388947,ok
EES0423531__X48__Y12__P008.jpg,0.891896,30.081714,ok
EES0423531__X48__Y15__P009.jpg,0.852701,26.312609,ok
EES0423531__X48__Y36__P010.jpg,0.918115,33.127789,ok
EES0423531__X0F__Y1E__P011.jpg,0.913937,26.635019,ok
EES0423531__X0F__Y21__P012.jpg,0.914961,26.329062,ok
EES0423531__X0F__Y24__P013.jpg,0.914859,25.335723,ok
EES0423531__X12__Y1B__P014.jpg,0.933158,25.817777,ok
EES0423531__X12__Y1E__P015.jpg,0.850796,24.420601,ok
EES0423531__X12__Y21__P016.jpg,0.893304,24.998070,ok
EES0423531__X12__Y24__P017.jpg,0.850060,24.006416,ok
EES0423531__X12__Y27__P018.jpg,0.864681,24.423145,ok
EES0423531__X12__Y2A__P019.jpg,0.882547,23.860031,ok
EES0423531__X15__Y12__P020.jpg,0.862314,24.123371,ok
EES0423531__X15__Y15__P021.jpg,0.861906,24.333921,ok
EES0423531__X15__Y18__P022.jpg,0.786432,22.424227,ok
EES0423531__X15__Y1E__P023.jpg,0.856729,23.436720,ok
EES0423531__X18__Y0F__P024.jpg,0.854530,23.057287,ok
EES0423531__X18__Y1B__P025.jpg,0.833633,23.136692,ok
EES0423532__X42__Y1B__P001.jpg,0.797737,22.465987,ok
EES0423532__X42__Y33__P002.jpg,0.790755,22.779242,ok
EES0423532__X45__Y15__P003.jpg,0.903714,23.504874,ok
EES0423532__X45__Y2D__P004.jpg,0.813031,22.616445,ok
EES0423532__X45__Y30__P005.jpg,0.888872,24.714890,ok
EES0423532__X48__Y1B__P006.jpg,0.951251,26.646067,ok
EES0423532__X48__Y1E__P007.jpg,0.914178,24.530936,ok
EES0423532__X48__Y21__P008.jpg,0.914611,24.879980,ok
EES0423532__X48__Y24__P009.jpg,0.875948,24.528144,ok
EES0423532__X48__Y27__P010.jpg,0.910179,25.455621,ok
EES0423532__X48__Y2A__P011.jpg,0.884815,24.260906,ok
EES0423532__X09__Y1E__P012.jpg,0.878583,27.361986,ok
EES0423532__X09__Y21__P013.jpg,0.874274,23.149288,ok
EES0423532__X09__Y24__P014.jpg,0.849433,24.500431,ok
EES0423532__X0C__Y30__P015.jpg,0.853786,27.628941,ok
EES0423532__X1E__Y06__P016.jpg,0.897413,28.834531,ok
EES0423532__X2D__Y3F__P017.jpg,0.876620,26.896411,ok
EES0423532__X30__Y06__P018.jpg,0.864254,25.051360,ok
EES0423532__X36__Y2D__P019.jpg,0.838263,22.995853,ok
EES0423532__X36__Y39__P020.jpg,0.839187,24.025615,ok
EES0423532__X39__Y21__P021.jpg,0.782706,22.443698,ok
EES0423532__X39__Y30__P022.jpg,0.834325,24.402592,ok
EES0423532__X39__Y39__P023.jpg,0.851628,24.451920,ok
EES0423532__X3C__Y1E__P024.jpg,0.803375,23.269889,ok
EES0423532__X3C__Y21__P025.jpg,0.819103,23.536394,ok
EES0423533__X33__Y30__P001.jpg,0.863111,24.629489,ok
EES0423533__X36__Y24__P002.jpg,0.893804,24.128851,ok
EES0423533__X36__Y27__P003.jpg,0.840254,22.985722,ok
EES0423533__X36__Y2A__P004.jpg,0.886800,23.970144,ok
EES0423533__X39__Y27__P005.jpg,0.892807,24.261501,ok
EES0423533__X06__Y18__P006.jpg,0.914270,24.301664,ok
EES0423533__X06__Y1B__P007.jpg,0.825779,23.331956,ok
EES0423533__X21__Y45__P008.jpg,0.875673,23.298096,ok
EES0423533__X2A__Y0C__P009.jpg,0.922564,24.337451,ok
EES0423533__X30__Y0F__P010.jpg,0.810111,22.703886,ok
EES0423533__X3C__Y1B__P011.jpg,0.822262,23.240367,ok
EES0423533__X3F__Y1B__P012.jpg,0.872065,23.660109,ok
EES0423533__X06__Y2D__P013.jpg,0.950139,24.490565,ok
EES0423533__X09__Y18__P014.jpg,0.945195,25.710190,ok
EES0423533__X0C__Y12__P015.jpg,0.929198,24.248182,ok
EES0423533__X0C__Y15__P016.jpg,0.858884,24.626662,ok
EES0423533__X0C__Y18__P017.jpg,0.832632,23.524625,ok
EES0423533__X15__Y42__P018.jpg,0.912491,23.501780,ok
EES0423533__X18__Y42__P019.jpg,0.952710,26.108257,ok
EES0423533__X1B__Y39__P020.jpg,0.799478,22.509931,ok
EES0423533__X21__Y45__P021.jpg,0.911103,23.804166,ok
EES0423533__X24__Y45__P022.jpg,0.940837,24.450520,ok
EES0423533__X48__Y48__P023.jpg,0.923062,23.866189,ok
EES0423533__X0F__Y1B__P024.jpg,0.865834,23.741234,ok
EES0423533__X15__Y1B__P025.jpg,0.775920,23.154421,ok
EES0423534__X15__Y1E__P001.jpg,0.900266,23.819028,ok
EES0423534__X18__Y0C__P002.jpg,0.837835,22.986368,ok
EES0423534__X18__Y0F__P003.jpg,0.885232,25.785807,ok
EES0423534__X18__Y1B__P004.jpg,0.844168,25.120883,ok
EES0423534__X18__Y21__P005.jpg,0.901121,24.928441,ok
EES0423534__X18__Y24__P006.jpg,0.814800,22.826040,ok
EES0423534__X18__Y36__P007.jpg,0.794072,23.486541,ok
EES0423534__X1B__Y0F__P008.jpg,0.799111,23.698973,ok
EES0423534__X1B__Y1E__P009.jpg,0.918528,25.552972,ok
EES0423534__X1B__Y27__P010.jpg,0.856694,24.244260,ok
EES0423534__X1E__Y0F__P011.jpg,0.868479,25.561595,ok
EES0423534__X1E__Y12__P012.jpg,0.878041,23.236024,ok
EES0423534__X1E__Y24__P013.jpg,0.909594,23.666787,ok
