filename,ssim,psnr,status
EES0423671__X12__Y15__P001.jpg,0.769426,17.826891,ok
EES0423671__X12__Y18__P002.jpg,0.752702,20.058919,ok
EES0423671__X12__Y1B__P003.jpg,0.765024,18.402816,ok
EES0423671__X12__Y2A__P004.jpg,0.768603,18.402781,ok
EES0423671__X12__Y2D__P005.jpg,0.838265,19.363043,ok
EES0423671__X15__Y12__P006.jpg,0.768498,20.005031,ok
EES0423671__X15__Y15__P007.jpg,0.711109,18.663520,ok
EES0423671__X15__Y18__P008.jpg,0.756283,17.692219,ok
EES0423671__X15__Y1B__P009.jpg,0.838012,19.434021,ok
EES0423671__X15__Y1E__P010.jpg,0.828744,20.814278,ok
EES0423671__X15__Y21__P011.jpg,0.800276,18.898691,ok
EES0423671__X15__Y27__P012.jpg,0.691451,17.635400,ok
EES0423671__X15__Y2D__P013.jpg,0.828990,19.614560,ok
EES0423671__X15__Y30__P014.jpg,0.829655,18.413991,ok
EES0423671__X18__Y15__P015.jpg,0.761198,18.773919,ok
EES0423671__X18__Y18__P016.jpg,0.772520,17.901555,ok
EES0423671__X18__Y1E__P017.jpg,0.758039,18.812537,ok
EES0423671__X18__Y21__P018.jpg,0.735212,17.393706,ok
EES0423671__X18__Y24__P019.jpg,0.801635,19.581171,ok
EES0423671__X18__Y27__P020.jpg,0.804662,18.794709,ok
EES0423671__X18__Y2A__P021.jpg,0.819739,20.260296,ok
EES0423671__X18__Y2D__P022.jpg,0.733691,19.313415,ok
EES0423671__X18__Y30__P023.jpg,0.734396,18.647719,ok
EES0423671__X18__Y33__P024.jpg,0.782401,20.252728,ok
EES0423671__X1B__Y09__P025.jpg,0.849947,20.002479,ok
EES0423672__X1B__Y18__P001.jpg,0.757314,17.767482,ok
EES0423672__X1B__Y1B__P002.jpg,0.783418,19.439869,ok
EES0423672__X1B__Y1E__P003.jpg,0.755309,17.842491,ok
EES0423672__X1B__Y21__P004.jpg,0.778310,17.999805,ok
EES0423672__X1B__Y24__P005.jpg,0.849980,20.877463,ok
EES0423672__X1B__Y27__P006.jpg,0.819903,19.639233,ok
EES0423672__X1B__Y30__P007.jpg,0.779592,18.468954,ok
EES0423672__X1B__Y33__P008.jpg,0.755342,19.171942,ok
EES0423672__X1B__Y36__P009.jpg,0.725662,18.975596,ok
EES0423672__X1E__Y15__P010.jpg,0.809210,18.727518,ok
EES0423672__X1E__Y18__P011.jpg,0.726847,17.615917,ok
EES0423672__X1E__Y21__P012.jpg,0.798024,19.118347,ok
EES0423672__X1E__Y24__P013.jpg,0.732196,18.995755,ok
EES0423672__X1E__Y27__P014.jpg,0.742513,20.164140,ok
EES0423672__X1E__Y30__P015.jpg,0.802390,19.293711,ok
EES0423672__X1E__Y33__P016.jpg,0.772627,19.519381,ok
EES0423672__X1E__Y36__P017.jpg,0.790777,19.088622,ok
EES0423672__X1E__Y39__P018.jpg,0.734973,18.787003,ok
EES0423672__X21__Y0C__P019.jpg,0.731634,17.310051,ok
EES0423672__X21__Y33__P020.jpg,0.797198,18.389501,ok
EES0423672__X21__Y36__P021.jpg,0.795437,18.355239,ok
EES0423672__X21__Y39__P022.jpg,0.788603,19.348000,ok
EES0423672__X24__Y06__P023.jpg,0.739294,18.278041,ok
EES0423672__X24__Y09__P024.jpg,0.806894,19.352645,ok
EES0423672__X24__Y0C__P025.jpg,0.790590,18.081934,ok
EES0423673__X24__Y36__P001.jpg,0.742954,17.547023,ok
EES0423673__X24__Y39__P002.jpg,0.858907,25.005865,ok
EES0423673__X27__Y0C__P003.jpg,0.831883,23.432234,ok
EES0423673__X27__Y2D__P004.jpg,0.857863,23.082168,ok
EES0423673__X27__Y30__P005.jpg,0.818858,22.057960,ok
EES0423673__X27__Y33__P006.jpg,0.761549,18.046079,ok
EES0423673__X27__Y39__P007.jpg,0.778489,18.290719,ok
EES0423673__X2A__Y33__P008.jpg,0.731708,17.294525,ok
EES0423673__X33__Y09__P009.jpg,0.780323,19.614365,ok
EES0423673__X39__Y21__P010.jpg,0.810256,19.124220,ok
EES0423673__X39__Y24__P011.jpg,0.762581,20.441970,ok
EES0423673__X42__Y27__P012.jpg,0.852882,24.842184,ok
EES0423673__X06__Y09__P013.jpg,0.829352,20.164885,ok
EES0423673__X09__Y1E__P014.jpg,0.943226,32.365175,ok
EES0423673__X09__Y21__P015.jpg,0.872344,22.173165,ok
EES0423673__X09__Y27__P016.jpg,0.800390,18.301165,ok
EES0423673__X0C__Y12__P017.jpg,0.799186,18.256158,ok
EES0423673__X0C__Y15__P018.jpg,0.899560,24.635213,ok
EES0423673__X0C__Y2D__P019.jpg,0.928709,25.219744,ok
EES0423673__X0C__Y30__P020.jpg,0.813923,21.895478,ok
EES0423673__X0F__Y0C__P021.jpg,0.801551,20.362430,ok
EES0423673__X0F__Y0F__P022.jpg,0.868128,23.757985,ok
EES0423673__X0F__Y33__P023.jpg,0.743995,17.705958,ok
EES0423673__X12__Y09__P024.jpg,0.797038,18.830254,ok
EES0423673__X12__Y36__P025.jpg,0.874113,23.025929,ok
EES0423674__X45__Y2D__P001.jpg,0.847364,19.464581,ok
EES0423674__X45__Y30__P002.jpg,0.924090,27.685159,ok
EES0423674__X0F__Y1B__P003.jpg,0.805485,18.290849,ok
EES0423674__X0F__Y24__P004.jpg,0.855189,18.869316,ok
EES0423674__X12__Y27__P005.jpg,0.833252,21.235046,ok
EES0423674__X18__Y06__P006.jpg,0.861504,21.546332,ok
EES0423674__X1B__Y06__P007.jpg,0.835127,19.386621,ok
EES0423674__X1B__Y36__P008.jpg,0.845884,18.718252,ok
EES0423674__X1E__Y06__P009.jpg,0.857990,19.666612,ok
EES0423674__X1E__Y33__P010.jpg,0.918940,27.644498,ok
EES0423674__X21__Y36__P011.jpg,0.836434,18.943802,ok
EES0423674__X21__Y3C__P012.jpg,0.878367,19.057348,ok
EES0423674__X2D__Y06__P013.jpg,0.925837,23.308032,ok
