filename,ssim,psnr,status
EES0423314__X45__Y2D__P020.jpg,0.766074,19.624904,ok
EES0423314__X45__Y30__P021.jpg,0.852979,24.532477,ok
EES0423314__X18__Y39__P022.jpg,0.718565,16.945618,ok
EES0423314__X1B__Y0C__P023.jpg,0.684851,16.116592,ok
EES0423314__X1E__Y09__P024.jpg,0.854750,20.364790,ok
EES0423314__X2A__Y06__P025.jpg,0.834724,20.155101,ok
EES0423315__X27__Y42__P001.jpg,0.799284,20.721664,ok
EES0423315__X2A__Y42__P002.jpg,0.777125,19.244670,ok
EES0423315__X2D__Y42__P003.jpg,0.754704,20.896380,ok
EES0423315__X30__Y3F__P004.jpg,0.699857,17.866154,ok
EES0423315__X30__Y42__P005.jpg,0.894920,26.468038,ok
EES0423315__X33__Y3F__P006.jpg,0.781887,21.790654,ok
EES0423315__X33__Y42__P007.jpg,0.739780,19.356439,ok
EES0423315__X36__Y3F__P008.jpg,0.873162,25.128325,ok
EES0423315__X36__Y42__P009.jpg,0.738490,17.093606,ok
EES0423315__X36__Y45__P010.jpg,0.833483,21.378551,ok
EES0423315__X39__Y3C__P011.jpg,0.722595,19.326824,ok
EES0423315__X39__Y45__P012.jpg,0.721190,17.899280,ok
EES0423315__X3C__Y0C__P013.jpg,0.826265,21.241333,ok
EES0423315__X3C__Y39__P014.jpg,0.679265,19.393451,ok
EES0423315__X3C__Y45__P015.jpg,0.803093,19.856905,ok
EES0423315__X3F__Y0F__P016.jpg,0.869412,23.957275,ok
EES0423315__X3F__Y39__P017.jpg,0.919180,28.312687,ok
EES0423315__X3F__Y42__P018.jpg,0.821638,19.708138,ok
EES0423315__X42__Y12__P019.jpg,0.857276,22.767817,ok
EES0423315__X42__Y15__P020.jpg,0.779260,18.915581,ok
EES0423315__X42__Y33__P021.jpg,0.718410,18.080816,ok
EES0423315__X42__Y42__P022.jpg,0.838296,21.088750,ok
EES0423315__X42__Y45__P023.jpg,0.791129,18.962454,ok
EES0423315__X45__Y15__P024.jpg,0.810943,19.946870,ok
EES0423315__X45__Y18__P025.jpg,0.799765,21.032117,ok
EES0423316__X45__Y1E__P001.jpg,0.790460,20.418755,ok
EES0423316__X45__Y2A__P002.jpg,0.683799,17.560292,ok
EES0423316__X45__Y39__P003.jpg,0.842655,21.623126,ok
EES0423316__X45__Y42__P004.jpg,0.884221,25.791197,ok
EES0423316__X48__Y1E__P005.jpg,0.880612,23.856648,ok
EES0423316__X48__Y21__P006.jpg,0.820744,21.155434,ok
EES0423316__X48__Y27__P007.jpg,0.833975,20.998357,ok
EES0423316__X48__Y2D__P008.jpg,0.870329,23.244107,ok
EES0423316__X48__Y3F__P009.jpg,0.825927,22.622440,ok
EES0423316__X48__Y42__P010.jpg,0.916610,28.981452,ok
EES0423316__X15__Y21__P011.jpg,0.829911,23.093025,ok
EES0423316__X15__Y27__P012.jpg,0.835292,23.592177,ok
EES0423316__X18__Y18__P013.jpg,0.762463,21.295080,ok
EES0423316__X18__Y21__P014.jpg,0.827427,22.914380,ok
EES0423316__X18__Y2A__P015.jpg,0.688976,18.433118,ok
EES0423316__X1B__Y0C__P016.jpg,0.889876,30.999590,ok
EES0423316__X1E__Y30__P017.jpg,0.781331,20.719220,ok
EES0423316__X21__Y36__P018.jpg,0.783684,21.604403,ok
EES0423316__X27__Y15__P019.jpg,0.759988,20.991813,ok
EES0423316__X33__Y09__P020.jpg,0.883974,24.961820,ok
EES0423316__X39__Y12__P021.jpg,0.722391,20.013572,ok
EES0423316__X45__Y2D__P022.jpg,0.802572,21.641827,ok
EES0423316__X48__Y24__P023.jpg,0.918756,27.904570,ok
EES0423316__X48__Y27__P024.jpg,0.912952,27.983942,ok
EES0423316__X15__Y1E__P025.jpg,0.686201,16.570749,ok
EES0423317__X42__Y30__P001.jpg,0.654066,17.446582,ok
EES0423317__X42__Y39__P002.jpg,0.839343,24.635900,ok
EES0423317__X42__Y3C__P003.jpg,0.812422,18.923349,ok
EES0423317__X45__Y15__P004.jpg,0.823888,21.333105,ok
EES0423317__X45__Y33__P005.jpg,0.658958,18.509998,ok
EES0423317__X45__Y36__P006.jpg,0.915238,31.550104,ok
EES0423317__X48__Y24__P007.jpg,0.733648,19.754875,ok
EES0423317__X48__Y2A__P008.jpg,0.713741,18.872652,ok
EES0423317__X48__Y30__P009.jpg,0.828061,18.941955,ok
EES0423317__X09__Y1E__P010.jpg,0.783513,19.064160,ok
EES0423317__X09__Y2A__P011.jpg,0.774273,18.413337,ok
EES0423317__X0C__Y15__P012.jpg,0.830973,21.477944,ok
EES0423317__X0C__Y2D__P013.jpg,0.720561,19.753633,ok
EES0423317__X0C__Y30__P014.jpg,0.772958,19.056440,ok
EES0423317__X0C__Y33__P015.jpg,0.903771,27.558748,ok
EES0423317__X0F__Y0F__P016.jpg,0.844300,20.180262,ok
EES0423317__X0F__Y12__P017.jpg,0.893040,25.853290,ok
EES0423317__X0F__Y33__P018.jpg,0.658017,17.146857,ok
EES0423317__X0F__Y36__P019.jpg,0.841353,21.216984,ok
EES0423317__X12__Y0C__P020.jpg,0.849674,22.669519,ok
EES0423317__X12__Y36__P021.jpg,0.687381,17.134234,ok
EES0423317__X12__Y39__P022.jpg,0.819145,20.883068,ok
EES0423317__X15__Y09__P023.jpg,0.878017,30.607758,ok
EES0423317__X18__Y09__P024.jpg,0.746736,17.759020,ok
EES0423317__X18__Y3C__P025.jpg,0.639433,18.322954,ok
EES0423318__X18__Y3F__P001.jpg,0.859510,22.770804,ok
EES0423318__X1E__Y03__P002.jpg,0.943602,24.230146,ok
EES0423318__X21__Y03__P003.jpg,0.945843,22.802749,ok
EES0423318__X2D__Y06__P004.jpg,0.933640,22.046245,ok
EES0423318__X30__Y06__P005.jpg,0.955548,23.185155,ok
EES0423318__X06__Y18__P006.jpg,0.954137,23.176506,ok
EES0423318__X18__Y3F__P007.jpg,0.858907,20.746084,ok
EES0423318__X1B__Y3F__P008.jpg,0.780985,20.079658,ok
EES0423318__X1B__Y45__P009.jpg,0.916430,21.648411,ok
EES0423318__X24__Y3F__P010.jpg,0.845499,22.070602,ok
EES0423318__X45__Y1B__P011.jpg,0.922276,24.881134,ok
EES0423318__X30__Y42__P012.jpg,0.918415,24.853558,ok
EES0423318__X42__Y33__P013.jpg,0.932316,23.117229,ok
EES0423318__X42__Y45__P014.jpg,0.930721,24.254507,ok
EES0423318__X18__Y30__P015.jpg,0.885155,21.553376,ok
EES0423318__X18__Y33__P016.jpg,0.910134,21.701698,ok
EES0423318__X21__Y42__P017.jpg,0.930503,25.045866,ok
EES0423318__X27__Y45__P018.jpg,0.912912,25.214250,ok
EES0423318__X36__Y42__P019.jpg,0.943346,25.105283,ok
EES0423318__X36__Y45__P020.jpg,0.939947,22.827234,ok
EES0423318__X3F__Y1B__P021.jpg,0.867497,22.962064,ok
EES0423318__X42__Y42__P022.jpg,0.951001,25.626530,ok
EES0423318__X09__Y12__P023.jpg,0.905137,24.475156,ok
EES0423318__X09__Y15__P024.jpg,0.893436,22.351571,ok
EES0423318__X0C__Y0F__P025.jpg,0.886222,24.638603,ok
EES0423319__X48__Y3F__P001.jpg,0.957335,24.837529,ok
EES0423319__X48__Y42__P002.jpg,0.956303,23.865507,ok
EES0423319__X06__Y0F__P003.jpg,0.854428,20.716262,ok
EES0423319__X06__Y12__P004.jpg,0.897366,22.337249,ok
EES0423319__X06__Y15__P005.jpg,0.658362,18.223393,ok
EES0423319__X06__Y27__P006.jpg,0.722929,18.893057,ok
EES0423319__X06__Y2A__P007.jpg,0.717411,19.012362,ok
EES0423319__X06__Y2D__P008.jpg,0.702051,19.340240,ok
EES0423319__X06__Y30__P009.jpg,0.816650,19.846458,ok
EES0423319__X09__Y33__P010.jpg,0.856044,22.811246,ok
EES0423319__X12__Y3C__P011.jpg,0.952981,29.008298,ok
