filename,ssim,psnr,status
EES0423671__X12__Y15__P001.jpg,0.787810,23.032503,ok
EES0423671__X12__Y18__P002.jpg,0.797683,22.616489,ok
EES0423671__X12__Y1B__P003.jpg,0.811408,24.517706,ok
EES0423671__X12__Y2A__P004.jpg,0.801402,22.109249,ok
EES0423671__X12__Y2D__P005.jpg,0.866646,23.595250,ok
EES0423671__X15__Y12__P006.jpg,0.798397,22.031798,ok
EES0423671__X15__Y15__P007.jpg,0.781736,24.301107,ok
EES0423671__X15__Y18__P008.jpg,0.790727,23.023785,ok
EES0423671__X15__Y1B__P009.jpg,0.740830,22.898205,ok
EES0423671__X15__Y1E__P010.jpg,0.857177,23.845419,ok
EES0423671__X15__Y21__P011.jpg,0.828543,23.128000,ok
EES0423671__X15__Y27__P012.jpg,0.833221,23.003681,ok
EES0423671__X15__Y2D__P013.jpg,0.797758,24.245688,ok
EES0423671__X15__Y30__P014.jpg,0.764942,21.597107,ok
EES0423671__X18__Y15__P015.jpg,0.785183,21.896738,ok
EES0423671__X18__Y18__P016.jpg,0.764285,22.879407,ok
EES0423671__X18__Y1E__P017.jpg,0.857676,22.638590,ok
EES0423671__X18__Y21__P018.jpg,0.857000,25.069388,ok
EES0423671__X18__Y24__P019.jpg,0.866008,23.687421,ok
EES0423671__X18__Y27__P020.jpg,0.848356,24.510763,ok
EES0423671__X18__Y2A__P021.jpg,0.793818,22.611778,ok
EES0423671__X18__Y2D__P022.jpg,0.763465,23.532497,ok
EES0423671__X18__Y30__P023.jpg,0.830113,23.819442,ok
EES0423671__X18__Y33__P024.jpg,0.721650,21.851827,ok
EES0423671__X1B__Y09__P025.jpg,0.877638,24.267148,ok
EES0423672__X1B__Y18__P001.jpg,0.774760,22.605162,ok
EES0423672__X1B__Y1B__P002.jpg,0.767427,23.320787,ok
EES0423672__X1B__Y1E__P003.jpg,0.777796,24.501614,ok
EES0423672__X1B__Y21__P004.jpg,0.790213,23.506390,ok
EES0423672__X1B__Y24__P005.jpg,0.836752,23.620130,ok
EES0423672__X1B__Y27__P006.jpg,0.807254,23.836601,ok
EES0423672__X1B__Y30__P007.jpg,0.823363,23.692729,ok
EES0423672__X1B__Y33__P008.jpg,0.854158,23.975535,ok
EES0423672__X1B__Y36__P009.jpg,0.883310,25.238352,ok
EES0423672__X1E__Y15__P010.jpg,0.792290,22.068781,ok
EES0423672__X1E__Y18__P011.jpg,0.790376,22.144296,ok
EES0423672__X1E__Y21__P012.jpg,0.761836,21.894640,ok
EES0423672__X1E__Y24__P013.jpg,0.761189,23.308394,ok
EES0423672__X1E__Y27__P014.jpg,0.814433,22.788273,ok
EES0423672__X1E__Y30__P015.jpg,0.825377,23.420424,ok
EES0423672__X1E__Y33__P016.jpg,0.843543,23.045307,ok
EES0423672__X1E__Y36__P017.jpg,0.841212,23.665802,ok
EES0423672__X1E__Y39__P018.jpg,0.830163,22.687957,ok
EES0423672__X21__Y0C__P019.jpg,0.812812,22.304500,ok
EES0423672__X21__Y33__P020.jpg,0.770010,23.120312,ok
EES0423672__X21__Y36__P021.jpg,0.818005,23.769758,ok
EES0423672__X21__Y39__P022.jpg,0.832334,23.442200,ok
EES0423672__X24__Y06__P023.jpg,0.824787,22.390689,ok
EES0423672__X24__Y09__P024.jpg,0.831654,22.701765,ok
EES0423672__X24__Y0C__P025.jpg,0.767024,21.616089,ok
EES0423673__X24__Y36__P001.jpg,0.804866,23.801126,ok
EES0423673__X24__Y39__P002.jpg,0.768996,21.851777,ok
EES0423673__X27__Y0C__P003.jpg,0.824758,22.464461,ok
EES0423673__X27__Y2D__P004.jpg,0.823866,22.404076,ok
EES0423673__X27__Y30__P005.jpg,0.787483,24.633697,ok
EES0423673__X27__Y33__P006.jpg,0.826091,24.534873,ok
EES0423673__X27__Y39__P007.jpg,0.852863,24.366530,ok
EES0423673__X2A__Y33__P008.jpg,0.786440,22.200693,ok
EES0423673__X33__Y09__P009.jpg,0.803112,22.456512,ok
EES0423673__X39__Y21__P010.jpg,0.834669,23.285475,ok
EES0423673__X39__Y24__P011.jpg,0.757138,21.442232,ok
EES0423673__X42__Y27__P012.jpg,0.768049,21.715786,ok
EES0423673__X06__Y09__P013.jpg,0.922639,28.893364,ok
EES0423673__X09__Y1E__P014.jpg,0.896001,26.397161,ok
EES0423673__X09__Y21__P015.jpg,0.882625,29.271676,ok
EES0423673__X09__Y27__P016.jpg,0.951257,29.484224,ok
EES0423673__X0C__Y12__P017.jpg,0.965508,36.741555,ok
EES0423673__X0C__Y15__P018.jpg,0.821495,23.004441,ok
EES0423673__X0C__Y2D__P019.jpg,0.891334,28.015701,ok
EES0423673__X0C__Y30__P020.jpg,0.897719,27.264836,ok
EES0423673__X0F__Y0C__P021.jpg,0.881157,27.325639,ok
EES0423673__X0F__Y0F__P022.jpg,0.855762,27.672495,ok
EES0423673__X0F__Y33__P023.jpg,0.876368,29.107328,ok
EES0423673__X12__Y09__P024.jpg,0.838381,26.092801,ok
EES0423673__X12__Y36__P025.jpg,0.842536,26.256237,ok
EES0423674__X45__Y2D__P001.jpg,0.887995,29.638652,ok
EES0423674__X45__Y30__P002.jpg,0.924694,30.215807,ok
EES0423674__X0F__Y1B__P003.jpg,0.870310,22.975529,ok
