filename,ssim,psnr,status
EES0423811__X42__Y15__P001.jpg,0.881339,23.747414,ok
EES0423811__X42__Y36__P002.jpg,0.908316,23.564281,ok
EES0423811__X45__Y18__P003.jpg,0.896011,24.001110,ok
EES0423811__X45__Y2A__P004.jpg,0.875187,23.715072,ok
EES0423811__X45__Y2D__P005.jpg,0.873182,22.344006,ok
EES0423811__X48__Y1E__P006.jpg,0.929218,24.350780,ok
EES0423811__X48__Y21__P007.jpg,0.920818,22.951535,ok
EES0423811__X18__Y1E__P008.jpg,0.833057,22.682351,ok
EES0423811__X18__Y24__P009.jpg,0.821796,22.351836,ok
EES0423811__X1B__Y1B__P010.jpg,0.816980,22.220786,ok
EES0423811__X1E__Y21__P011.jpg,0.837619,22.089188,ok
EES0423811__X21__Y09__P012.jpg,0.879715,23.897664,ok
EES0423811__X2A__Y0C__P013.jpg,0.919318,27.364711,ok
EES0423811__X2A__Y0F__P014.jpg,0.871645,22.638129,ok
EES0423811__X2A__Y12__P015.jpg,0.884656,22.569271,ok
EES0423811__X2D__Y0C__P016.jpg,0.824626,22.239626,ok
EES0423811__X2D__Y0F__P017.jpg,0.889655,23.478516,ok
EES0423811__X30__Y1B__P018.jpg,0.845351,22.252157,ok
EES0423811__X33__Y0F__P019.jpg,0.844157,22.772730,ok
EES0423811__X33__Y21__P020.jpg,0.815355,22.340491,ok
EES0423811__X36__Y27__P021.jpg,0.827611,21.895041,ok
EES0423811__X39__Y18__P022.jpg,0.805187,21.987784,ok
EES0423811__X39__Y24__P023.jpg,0.824643,22.496224,ok
EES0423811__X3C__Y36__P024.jpg,0.890545,22.585182,ok
EES0423811__X3F__Y36__P025.jpg,0.855781,22.589282,ok
EES0423812__X18__Y1E__P001.jpg,0.843154,22.483427,ok
EES0423812__X24__Y0C__P002.jpg,0.852644,22.740689,ok
EES0423812__X27__Y03__P003.jpg,0.887985,23.823480,ok
EES0423812__X2D__Y03__P004.jpg,0.886612,24.128234,ok
EES0423812__X3C__Y0C__P005.jpg,0.863049,22.423088,ok
EES0423812__X3C__Y36__P006.jpg,0.873047,22.303632,ok
EES0423812__X3F__Y1B__P007.jpg,0.863943,23.309139,ok
EES0423812__X45__Y18__P008.jpg,0.908609,28.716123,ok
EES0423812__X0C__Y27__P009.jpg,0.870220,24.377441,ok
EES0423812__X1B__Y24__P010.jpg,0.862514,22.558559,ok
EES0423812__X27__Y36__P011.jpg,0.870153,22.775571,ok
EES0423812__X30__Y09__P012.jpg,0.871371,22.362466,ok
EES0423812__X33__Y2D__P013.jpg,0.842709,22.781850,ok
EES0423812__X33__Y33__P014.jpg,0.886000,23.961000,ok
EES0423812__X36__Y0F__P015.jpg,0.858263,23.285577,ok
