filename,ssim,psnr,status
EES0423671__X12__Y15__P001.jpg,0.743110,19.674690,ok
EES0423671__X12__Y18__P002.jpg,0.747925,18.432597,ok
EES0423671__X12__Y1B__P003.jpg,0.759139,17.451005,ok
EES0423671__X12__Y2A__P004.jpg,0.757970,18.052388,ok
EES0423671__X12__Y2D__P005.jpg,0.700715,18.284044,ok
EES0423671__X15__Y12__P006.jpg,0.818913,19.237187,ok
EES0423671__X15__Y15__P007.jpg,0.724411,18.279547,ok
EES0423671__X15__Y18__P008.jpg,0.791008,19.208350,ok
EES0423671__X15__Y1B__P009.jpg,0.809521,19.880661,ok
EES0423671__X15__Y1E__P010.jpg,0.745924,17.306372,ok
EES0423671__X15__Y21__P011.jpg,0.754558,18.024971,ok
EES0423671__X15__Y27__P012.jpg,0.723589,18.955845,ok
EES0423671__X15__Y2D__P013.jpg,0.828114,19.063445,ok
EES0423671__X15__Y30__P014.jpg,0.772310,19.893912,ok
EES0423671__X18__Y15__P015.jpg,0.680940,17.268279,ok
EES0423671__X18__Y18__P016.jpg,0.794321,18.398191,ok
EES0423671__X18__Y1E__P017.jpg,0.790067,18.518048,ok
EES0423671__X18__Y21__P018.jpg,0.819265,18.051667,ok
EES0423671__X18__Y24__P019.jpg,0.839708,19.648318,ok
EES0423671__X18__Y27__P020.jpg,0.818550,20.437703,ok
EES0423671__X18__Y2A__P021.jpg,0.750981,18.412672,ok
EES0423671__X18__Y2D__P022.jpg,0.758749,19.637014,ok
EES0423671__X18__Y30__P023.jpg,0.725049,17.004608,ok
EES0423671__X18__Y33__P024.jpg,0.762343,17.503165,ok
EES0423671__X1B__Y09__P025.jpg,0.828096,18.988305,ok
EES0423672__X1B__Y18__P001.jpg,0.724800,17.114219,ok
EES0423672__X1B__Y1B__P002.jpg,0.799957,19.132942,ok
EES0423672__X1B__Y1E__P003.jpg,0.802187,18.530160,ok
EES0423672__X1B__Y21__P004.jpg,0.776248,19.231688,ok
EES0423672__X1B__Y24__P005.jpg,0.765983,19.318855,ok
EES0423672__X1B__Y27__P006.jpg,0.718770,18.780180,ok
EES0423672__X1B__Y30__P007.jpg,0.790987,18.194558,ok
EES0423672__X1B__Y33__P008.jpg,0.784253,18.889209,ok
EES0423672__X1B__Y36__P009.jpg,0.719747,17.408554,ok
EES0423672__X1E__Y15__P010.jpg,0.772962,18.281731,ok
EES0423672__X1E__Y18__P011.jpg,0.783469,17.893032,ok
EES0423672__X1E__Y21__P012.jpg,0.789073,18.162214,ok
EES0423672__X1E__Y24__P013.jpg,0.771127,17.792213,ok
EES0423672__X1E__Y27__P014.jpg,0.750663,17.549792,ok
EES0423672__X1E__Y30__P015.jpg,0.735776,19.964639,ok
EES0423672__X1E__Y33__P016.jpg,0.813717,19.444301,ok
EES0423672__X1E__Y36__P017.jpg,0.781657,19.148389,ok
EES0423672__X1E__Y39__P018.jpg,0.748735,17.636746,ok
EES0423672__X21__Y0C__P019.jpg,0.732934,18.089254,ok
EES0423672__X21__Y33__P020.jpg,0.748673,18.991459,ok
EES0423672__X21__Y36__P021.jpg,0.791172,18.921741,ok
EES0423672__X21__Y39__P022.jpg,0.727981,18.584202,ok
EES0423672__X24__Y06__P023.jpg,0.725542,18.803307,ok
EES0423672__X24__Y09__P024.jpg,0.843415,20.672143,ok
EES0423672__X24__Y0C__P025.jpg,0.795709,19.103395,ok
EES0423673__X24__Y36__P001.jpg,0.849253,23.314681,ok
EES0423673__X24__Y39__P002.jpg,0.840127,24.543331,ok
EES0423673__X27__Y0C__P003.jpg,0.924184,31.892123,ok
EES0423673__X27__Y2D__P004.jpg,0.834319,24.367126,ok
EES0423673__X27__Y30__P005.jpg,0.909769,24.747529,ok
EES0423673__X27__Y33__P006.jpg,0.853223,21.716241,ok
EES0423673__X27__Y39__P007.jpg,0.724029,17.103509,ok
EES0423673__X2A__Y33__P008.jpg,0.759253,17.838401,ok
EES0423673__X33__Y09__P009.jpg,0.777862,18.364451,ok
EES0423673__X39__Y21__P010.jpg,0.761196,19.166967,ok
EES0423673__X39__Y24__P011.jpg,0.810262,19.727651,ok
EES0423673__X42__Y27__P012.jpg,0.780277,17.797244,ok
EES0423673__X06__Y09__P013.jpg,0.781224,17.832160,ok
EES0423673__X09__Y1E__P014.jpg,0.799237,21.601002,ok
EES0423673__X09__Y21__P015.jpg,0.743608,19.990546,ok
EES0423673__X09__Y27__P016.jpg,0.742463,17.574404,ok
EES0423673__X0C__Y12__P017.jpg,0.791008,18.663826,ok
EES0423673__X0C__Y15__P018.jpg,0.838671,22.623116,ok
EES0423673__X0C__Y2D__P019.jpg,0.880499,24.177662,ok
EES0423673__X0C__Y30__P020.jpg,0.782881,19.894563,ok
EES0423673__X0F__Y0C__P021.jpg,0.724977,17.253420,ok
EES0423673__X0F__Y0F__P022.jpg,0.855102,22.585945,ok
EES0423673__X0F__Y33__P023.jpg,0.795066,21.421366,ok
EES0423673__X12__Y09__P024.jpg,0.712903,16.843981,ok
EES0423673__X12__Y36__P025.jpg,0.812198,22.965757,ok
EES0423674__X45__Y2D__P001.jpg,0.883413,25.452838,ok
EES0423674__X45__Y30__P002.jpg,0.870041,18.432627,ok
EES0423674__X0F__Y1B__P003.jpg,0.868007,18.270232,ok
EES0423674__X0F__Y24__P004.jpg,0.856763,19.163593,ok
EES0423674__X12__Y27__P005.jpg,0.824596,19.158248,ok
EES0423674__X18__Y06__P006.jpg,0.929025,30.616825,ok
EES0423674__X1B__Y06__P007.jpg,0.853333,20.919680,ok
EES0423674__X1B__Y36__P008.jpg,0.846431,24.872288,ok
EES0423674__X1E__Y06__P009.jpg,0.826754,18.753813,ok
EES0423674__X1E__Y33__P010.jpg,0.867264,18.965080,ok
EES0423674__X21__Y36__P011.jpg,0.831924,19.613966,ok
EES0423674__X21__Y3C__P012.jpg,0.828545,18.312725,ok
EES0423674__X2D__Y06__P013.jpg,0.846488,18.222530,ok
EES0423674__X39__Y3C__P014.jpg,0.797389,17.656422,ok
EES0423674__X0F__Y18__P015.jpg,0.915084,24.922348,ok
EES0423674__X0F__Y21__P016.jpg,0.916176,27.053324,ok
EES0423674__X0F__Y24__P017.jpg,0.839708,18.825024,ok
EES0423674__X0F__Y27__P018.jpg,0.910840,27.007372,ok
EES0423674__X15__Y36__P019.jpg,0.825093,20.575646,ok
EES0423674__X1E__Y06__P020.jpg,0.829970,18.705790,ok
EES0423674__X27__Y3F__P021.jpg,0.917881,22.654557,ok
EES0423674__X33__Y3F__P022.jpg,0.849939,19.031814,ok
EES0423674__X39__Y09__P023.jpg,0.837402,18.065306,ok
EES0423674__X3C__Y0C__P024.jpg,0.850713,18.355662,ok
EES0423674__X42__Y12__P025.jpg,0.815528,18.010571,ok
EES0423675__X42__Y36__P001.jpg,0.800287,19.628321,ok
EES0423675__X48__Y1B__P002.jpg,0.895570,24.245305,ok
EES0423675__X06__Y1E__P003.jpg,0.792135,18.192873,ok
EES0423675__X06__Y21__P004.jpg,0.726753,18.598944,ok
EES0423675__X06__Y24__P005.jpg,0.788610,20.380133,ok
EES0423675__X06__Y27__P006.jpg,0.732189,18.891222,ok
EES0423675__X09__Y18__P007.jpg,0.817659,19.069479,ok
EES0423675__X09__Y1B__P008.jpg,0.849836,22.804701,ok
EES0423675__X09__Y2A__P009.jpg,0.858074,20.737752,ok
EES0423675__X09__Y2D__P010.jpg,0.881994,20.058282,ok
EES0423675__X0C__Y12__P011.jpg,0.930315,27.797799,ok
EES0423675__X0C__Y15__P012.jpg,0.866347,21.015184,ok
EES0423675__X0C__Y18__P013.jpg,0.880295,22.472102,ok
EES0423675__X0C__Y33__P014.jpg,0.853082,19.113291,ok
EES0423675__X0F__Y0F__P015.jpg,0.745503,18.039170,ok
EES0423675__X15__Y3C__P016.jpg,0.908313,20.148053,ok
EES0423675__X1E__Y03__P017.jpg,0.898975,26.680022,ok
EES0423675__X1E__Y3F__P018.jpg,0.922365,31.698149,ok
EES0423675__X21__Y03__P019.jpg,0.802872,21.279849,ok
EES0423675__X27__Y03__P020.jpg,0.828730,21.222867,ok
EES0423675__X2A__Y03__P021.jpg,0.838348,21.660458,ok
EES0423675__X2A__Y3F__P022.jpg,0.808501,17.943599,ok
EES0423675__X2D__Y03__P023.jpg,0.840605,22.569218,ok
EES0423675__X2D__Y3F__P024.jpg,0.872308,22.254281,ok
EES0423675__X30__Y3F__P025.jpg,0.833172,22.843706,ok
EES0423676__X33__Y3C__P001.jpg,0.887022,24.917890,ok
EES0423676__X36__Y09__P002.jpg,0.852196,24.308018,ok
EES0423676__X36__Y3C__P003.jpg,0.851118,20.726807,ok
EES0423676__X39__Y0C__P004.jpg,0.814003,18.778828,ok
EES0423676__X39__Y39__P005.jpg,0.868490,21.314303,ok
EES0423676__X3C__Y0C__P006.jpg,0.919335,25.874561,ok
EES0423676__X3C__Y0F__P007.jpg,0.809473,21.245637,ok
EES0423676__X3C__Y33__P008.jpg,0.905016,22.026212,ok
EES0423676__X3C__Y36__P009.jpg,0.840512,20.954155,ok
EES0423676__X3F__Y0F__P010.jpg,0.836809,20.285777,ok
EES0423676__X3F__Y12__P011.jpg,0.820745,18.386591,ok
EES0423676__X3F__Y2D__P012.jpg,0.860706,21.366176,ok
EES0423676__X3F__Y30__P013.jpg,0.789743,19.600347,ok
EES0423676__X42__Y0F__P014.jpg,0.787755,18.191255,ok
EES0423676__X42__Y15__P015.jpg,0.881694,22.718944,ok
EES0423676__X42__Y18__P016.jpg,0.845512,19.512538,ok
EES0423676__X42__Y1B__P017.jpg,0.787551,18.004390,ok
EES0423676__X42__Y1E__P018.jpg,0.827641,19.836862,ok
EES0423676__X42__Y21__P019.jpg,0.843105,22.138131,ok
EES0423676__X42__Y24__P020.jpg,0.818962,18.594198,ok
EES0423676__X42__Y27__P021.jpg,0.808062,19.045410,ok
EES0423676__X42__Y2A__P022.jpg,0.935499,28.280382,ok
EES0423676__X45__Y18__P023.jpg,0.814657,19.082393,ok
EES0423676__X0F__Y24__P024.jpg,0.865849,24.521675,ok
EES0423676__X1E__Y3C__P025.jpg,0.804052,20.705064,ok
EES0423677__X21__Y0C__P001.jpg,0.654947,16.316416,ok
EES0423677__X2A__Y2D__P002.jpg,0.723772,17.775373,ok
EES0423677__X33__Y09__P003.jpg,0.718302,17.736466,ok
EES0423677__X36__Y3F__P004.jpg,0.849494,19.940843,ok
EES0423677__X39__Y1B__P005.jpg,0.800769,18.380046,ok
EES0423677__X3C__Y0F__P006.jpg,0.842110,19.675339,ok
EES0423677__X3F__Y12__P007.jpg,0.839374,19.437282,ok
EES0423677__X12__Y1B__P008.jpg,0.703314,17.200194,ok
EES0423677__X15__Y18__P009.jpg,0.773081,18.043725,ok
EES0423677__X15__Y1B__P010.jpg,0.851152,18.113858,ok
EES0423677__X15__Y2D__P011.jpg,0.767806,18.668516,ok
EES0423677__X18__Y21__P012.jpg,0.778927,17.393280,ok
EES0423677__X18__Y24__P013.jpg,0.708993,17.542382,ok
EES0423677__X18__Y33__P014.jpg,0.741249,19.002493,ok
EES0423677__X1B__Y21__P015.jpg,0.790963,19.348723,ok
EES0423677__X1B__Y24__P016.jpg,0.762159,19.228547,ok
EES0423677__X1B__Y27__P017.jpg,0.716549,16.997482,ok
EES0423677__X1E__Y12__P018.jpg,0.668628,16.494349,ok
EES0423677__X1E__Y24__P019.jpg,0.788716,18.376197,ok
EES0423677__X1E__Y39__P020.jpg,0.796836,19.659914,ok
EES0423677__X1E__Y3C__P021.jpg,0.760236,17.309648,ok
EES0423677__X21__Y33__P022.jpg,0.914855,25.456840,ok
EES0423677__X21__Y39__P023.jpg,0.898004,24.757437,ok
EES0423677__X24__Y3F__P024.jpg,0.714040,17.138928,ok
EES0423677__X27__Y09__P025.jpg,0.790943,19.197855,ok
EES0423678__X27__Y39__P001.jpg,0.922883,29.067654,ok
EES0423678__X27__Y3F__P002.jpg,0.857573,22.903092,ok
EES0423678__X2A__Y18__P003.jpg,0.859629,23.991150,ok
EES0423678__X2A__Y3C__P004.jpg,0.808952,19.771242,ok
EES0423678__X30__Y09__P005.jpg,0.896046,23.413747,ok
EES0423678__X30__Y12__P006.jpg,0.792367,19.157971,ok
EES0423678__X30__Y3F__P007.jpg,0.836214,20.789822,ok
EES0423678__X33__Y33__P008.jpg,0.889193,21.774572,ok
EES0423678__X33__Y3C__P009.jpg,0.816724,20.395177,ok
EES0423678__X3C__Y1E__P010.jpg,0.705119,18.300672,ok
EES0423678__X3C__Y27__P011.jpg,0.711063,18.270233,ok
EES0423678__X3C__Y30__P012.jpg,0.917000,23.771960,ok
EES0423678__X3F__Y2A__P013.jpg,0.828965,18.333830,ok
EES0423678__X42__Y21__P014.jpg,0.793652,19.009728,ok
EES0423678__X45__Y21__P015.jpg,0.740722,18.531023,ok
EES0423678__X0F__Y1B__P016.jpg,0.765796,19.045975,ok
EES0423678__X0F__Y1E__P017.jpg,0.823572,19.422140,ok
EES0423678__X0F__Y21__P018.jpg,0.776390,18.342886,ok
EES0423678__X0F__Y24__P019.jpg,0.652618,16.887306,ok
EES0423678__X0F__Y27__P020.jpg,0.806732,20.841500,ok
EES0423678__X0F__Y2A__P021.jpg,0.784485,18.368928,ok
EES0423678__X12__Y12__P022.jpg,0.904269,25.616820,ok
EES0423678__X12__Y15__P023.jpg,0.752727,18.348875,ok
EES0423678__X12__Y18__P024.jpg,0.862806,19.799541,ok
EES0423678__X12__Y1B__P025.jpg,0.741471,19.575563,ok
EES0423679__X27__Y06__P001.jpg,0.873440,21.886947,ok
EES0423679__X2A__Y06__P002.jpg,0.727005,17.972117,ok
EES0423679__X2D__Y06__P003.jpg,0.910815,26.616593,ok
EES0423679__X30__Y06__P004.jpg,0.731521,17.773501,ok
EES0423679__X33__Y3F__P005.jpg,0.881249,25.983714,ok
EES0423679__X36__Y03__P006.jpg,0.780883,21.643992,ok
EES0423679__X36__Y09__P007.jpg,0.924480,24.408787,ok
EES0423679__X39__Y09__P008.jpg,0.909570,26.381608,ok
EES0423679__X39__Y3C__P009.jpg,0.829570,19.506367,ok
EES0423679__X42__Y12__P010.jpg,0.833016,21.663697,ok
EES0423679__X45__Y15__P011.jpg,0.889001,19.952330,ok
EES0423679__X45__Y30__P012.jpg,0.814026,18.989731,ok
EES0423679__X45__Y45__P013.jpg,0.726756,18.306056,ok
EES0423679__X48__Y18__P014.jpg,0.856417,24.408674,ok
EES0423679__X48__Y1B__P015.jpg,0.900308,25.583658,ok
EES0423679__X48__Y1E__P016.jpg,0.921795,23.132515,ok
EES0423679__X48__Y21__P017.jpg,0.801496,19.809287,ok
EES0423679__X48__Y24__P018.jpg,0.857482,20.569838,ok
EES0423679__X48__Y27__P019.jpg,0.908356,25.432270,ok
EES0423679__X48__Y2A__P020.jpg,0.823475,20.573883,ok
EES0423679__X0F__Y1B__P021.jpg,0.832591,18.820628,ok
EES0423679__X0F__Y2A__P022.jpg,0.799380,21.125182,ok
EES0423679__X0F__Y2D__P023.jpg,0.900895,26.921592,ok
EES0423679__X12__Y12__P024.jpg,0.935216,25.377231,ok
EES0423679__X12__Y15__P025.jpg,0.859716,20.923731,ok
EES0423680__X12__Y18__P001.jpg,0.775344,18.931069,ok
EES0423680__X12__Y1B__P002.jpg,0.696239,16.485512,ok
EES0423680__X12__Y1E__P003.jpg,0.892564,24.700718,ok
EES0423680__X12__Y24__P004.jpg,0.837985,18.326707,ok
EES0423680__X12__Y27__P005.jpg,0.746552,18.921811,ok
EES0423680__X12__Y30__P006.jpg,0.848871,22.155854,ok
EES0423680__X12__Y36__P007.jpg,0.727281,17.385512,ok
EES0423680__X15__Y12__P008.jpg,0.752574,18.679288,ok
EES0423680__X15__Y18__P009.jpg,0.758529,18.342521,ok
EES0423680__X15__Y1B__P010.jpg,0.716412,17.722665,ok
EES0423680__X15__Y21__P011.jpg,0.852995,20.835139,ok
EES0423680__X15__Y27__P012.jpg,0.805488,18.838761,ok
EES0423680__X15__Y30__P013.jpg,0.702731,16.671218,ok
EES0423680__X15__Y33__P014.jpg,0.762702,17.939768,ok
EES0423680__X15__Y36__P015.jpg,0.724439,18.650412,ok
EES0423680__X18__Y0F__P016.jpg,0.682419,16.769882,ok
EES0423680__X18__Y1E__P017.jpg,0.741901,17.691311,ok
EES0423680__X18__Y21__P018.jpg,0.671366,17.313406,ok
EES0423680__X18__Y33__P019.jpg,0.722287,17.758199,ok
EES0423680__X18__Y36__P020.jpg,0.913530,27.043470,ok
EES0423680__X18__Y39__P021.jpg,0.754303,18.369706,ok
EES0423680__X1B__Y0C__P022.jpg,0.812717,19.437611,ok
EES0423680__X1B__Y36__P023.jpg,0.688085,16.628911,ok
EES0423680__X1B__Y39__P024.jpg,0.880740,20.365835,ok
EES0423680__X1E__Y09__P025.jpg,0.706848,16.948289,ok
EES0423681__X1E__Y33__P001.jpg,0.724391,18.571036,ok
EES0423681__X1E__Y3C__P002.jpg,0.793726,21.068029,ok
EES0423681__X21__Y3C__P003.jpg,0.651896,16.762970,ok
EES0423681__X24__Y3F__P004.jpg,0.736771,17.321313,ok
EES0423681__X27__Y3F__P005.jpg,0.813713,20.812918,ok
EES0423681__X2A__Y09__P006.jpg,0.761403,18.410243,ok
EES0423681__X2A__Y3F__P007.jpg,0.794260,18.174655,ok
EES0423681__X2D__Y3C__P008.jpg,0.784458,17.629285,ok
EES0423681__X2D__Y3F__P009.jpg,0.904714,23.009808,ok
EES0423681__X30__Y09__P010.jpg,0.835555,19.486087,ok
EES0423681__X30__Y3C__P011.jpg,0.925413,29.162259,ok
EES0423681__X36__Y33__P012.jpg,0.758104,17.950920,ok
EES0423681__X36__Y36__P013.jpg,0.865069,23.161309,ok
EES0423681__X36__Y39__P014.jpg,0.809615,18.654475,ok
EES0423681__X39__Y36__P015.jpg,0.838953,21.899915,ok
EES0423681__X39__Y39__P016.jpg,0.787572,17.799382,ok
EES0423681__X3C__Y2A__P017.jpg,0.831820,21.978358,ok
EES0423681__X3F__Y30__P018.jpg,0.830307,20.047848,ok
EES0423681__X42__Y21__P019.jpg,0.786113,17.742222,ok
EES0423681__X42__Y2A__P020.jpg,0.771920,19.966291,ok
EES0423681__X0C__Y12__P021.jpg,0.796692,18.706715,ok
EES0423681__X0C__Y1E__P022.jpg,0.879704,22.346229,ok
EES0423681__X0F__Y18__P023.jpg,0.769902,18.639639,ok
EES0423681__X0F__Y1B__P024.jpg,0.922429,31.562263,ok
EES0423681__X0F__Y24__P025.jpg,0.836747,21.132423,ok
EES0423682__X42__Y30__P001.jpg,0.799423,21.399454,ok
EES0423682__X45__Y15__P002.jpg,0.914011,22.356759,ok
EES0423682__X45__Y2A__P003.jpg,0.753441,20.183709,ok
EES0423682__X0F__Y1E__P004.jpg,0.829760,18.062697,ok
