filename,ssim,psnr,status
EES0423314__X45__Y2D__P020.jpg,0.719484,19.893560,ok
EES0423314__X45__Y30__P021.jpg,0.824481,22.915371,ok
EES0423314__X18__Y39__P022.jpg,0.767690,20.103007,ok
EES0423314__X1B__Y0C__P023.jpg,0.732455,21.011353,ok
EES0423314__X1E__Y09__P024.jpg,0.779475,22.621171,ok
EES0423314__X2A__Y06__P025.jpg,0.801377,20.252946,ok
EES0423315__X27__Y42__P001.jpg,0.752902,21.357073,ok
EES0423315__X2A__Y42__P002.jpg,0.869563,34.833270,ok
EES0423315__X2D__Y42__P003.jpg,0.819167,25.130755,ok
EES0423315__X30__Y3F__P004.jpg,0.792251,21.267921,ok
EES0423315__X30__Y42__P005.jpg,0.744857,19.747019,ok
EES0423315__X33__Y3F__P006.jpg,0.849859,26.353332,ok
EES0423315__X33__Y42__P007.jpg,0.709590,19.555973,ok
EES0423315__X36__Y3F__P008.jpg,0.752497,20.049141,ok
EES0423315__X36__Y42__P009.jpg,0.776747,23.568258,ok
EES0423315__X36__Y45__P010.jpg,0.800658,21.497113,ok
EES0423315__X39__Y3C__P011.jpg,0.834530,24.734659,ok
EES0423315__X39__Y45__P012.jpg,0.831570,28.014454,ok
EES0423315__X3C__Y0C__P013.jpg,0.736132,23.283622,ok
EES0423315__X3C__Y39__P014.jpg,0.763965,21.248436,ok
EES0423315__X3C__Y45__P015.jpg,0.823762,26.485059,ok
EES0423315__X3F__Y0F__P016.jpg,0.819187,25.155907,ok
EES0423315__X3F__Y39__P017.jpg,0.839424,27.094950,ok
EES0423315__X3F__Y42__P018.jpg,0.805157,25.779626,ok
EES0423315__X42__Y12__P019.jpg,0.747259,22.695402,ok
EES0423315__X42__Y15__P020.jpg,0.802207,21.922977,ok
EES0423315__X42__Y33__P021.jpg,0.825231,22.866512,ok
EES0423315__X42__Y42__P022.jpg,0.733335,19.800396,ok
EES0423315__X42__Y45__P023.jpg,0.729502,20.377326,ok
EES0423315__X45__Y15__P024.jpg,0.784602,21.913536,ok
EES0423315__X45__Y18__P025.jpg,0.763599,20.149475,ok
EES0423316__X45__Y1E__P001.jpg,0.830006,26.189565,ok
EES0423316__X45__Y2A__P002.jpg,0.863816,30.035052,ok
EES0423316__X45__Y39__P003.jpg,0.786825,20.483218,ok
EES0423316__X45__Y42__P004.jpg,0.834542,23.908310,ok
EES0423316__X48__Y1E__P005.jpg,0.833833,22.752153,ok
EES0423316__X48__Y21__P006.jpg,0.795864,20.867115,ok
EES0423316__X48__Y27__P007.jpg,0.858477,29.146213,ok
EES0423316__X48__Y2D__P008.jpg,0.806353,21.588475,ok
EES0423316__X48__Y3F__P009.jpg,0.770102,20.083903,ok
EES0423316__X48__Y42__P010.jpg,0.730343,19.534733,ok
EES0423316__X15__Y21__P011.jpg,0.772209,20.381399,ok
EES0423316__X15__Y27__P012.jpg,0.716277,22.323030,ok
EES0423316__X18__Y18__P013.jpg,0.808646,23.278350,ok
EES0423316__X18__Y21__P014.jpg,0.848462,25.060880,ok
EES0423316__X18__Y2A__P015.jpg,0.864386,34.813318,ok
EES0423316__X1B__Y0C__P016.jpg,0.860978,28.080305,ok
EES0423316__X1E__Y30__P017.jpg,0.799651,21.888977,ok
EES0423316__X21__Y36__P018.jpg,0.738480,20.493841,ok
EES0423316__X27__Y15__P019.jpg,0.737404,19.516013,ok
EES0423316__X33__Y09__P020.jpg,0.794557,20.171932,ok
EES0423316__X39__Y12__P021.jpg,0.792589,19.986998,ok
EES0423316__X45__Y2D__P022.jpg,0.775536,20.376087,ok
EES0423316__X48__Y24__P023.jpg,0.690413,19.033461,ok
EES0423316__X48__Y27__P024.jpg,0.732381,19.306052,ok
EES0423316__X15__Y1E__P025.jpg,0.828729,21.941178,ok
EES0423317__X42__Y30__P001.jpg,0.857312,29.774765,ok
EES0423317__X42__Y39__P002.jpg,0.792859,24.050831,ok
EES0423317__X42__Y3C__P003.jpg,0.789414,24.686865,ok
EES0423317__X45__Y15__P004.jpg,0.806661,26.644806,ok
EES0423317__X45__Y33__P005.jpg,0.783704,27.470245,ok
EES0423317__X45__Y36__P006.jpg,0.709285,21.383807,ok
EES0423317__X48__Y24__P007.jpg,0.633964,19.456733,ok
EES0423317__X48__Y2A__P008.jpg,0.818084,29.741052,ok
EES0423317__X48__Y30__P009.jpg,0.677003,21.928484,ok
EES0423317__X09__Y1E__P010.jpg,0.837917,30.962870,ok
EES0423317__X09__Y2A__P011.jpg,0.792361,20.046438,ok
EES0423317__X0C__Y15__P012.jpg,0.845885,30.421732,ok
EES0423317__X0C__Y2D__P013.jpg,0.628926,20.516711,ok
EES0423317__X0C__Y30__P014.jpg,0.726208,20.061567,ok
EES0423317__X0C__Y33__P015.jpg,0.718417,20.896311,ok
EES0423317__X0F__Y0F__P016.jpg,0.631258,19.935540,ok
EES0423317__X0F__Y12__P017.jpg,0.798810,30.321926,ok
EES0423317__X0F__Y33__P018.jpg,0.779005,23.814994,ok
EES0423317__X0F__Y36__P019.jpg,0.786081,25.986637,ok
EES0423317__X12__Y0C__P020.jpg,0.793803,22.361842,ok
EES0423317__X12__Y36__P021.jpg,0.813245,23.244132,ok
EES0423317__X12__Y39__P022.jpg,0.742125,24.743521,ok
EES0423317__X15__Y09__P023.jpg,0.811513,23.825235,ok
EES0423317__X18__Y09__P024.jpg,0.807567,27.280023,ok
EES0423317__X18__Y3C__P025.jpg,0.681173,21.472572,ok
EES0423318__X18__Y3F__P001.jpg,0.882118,21.679290,ok
EES0423318__X1E__Y03__P002.jpg,0.888121,21.764314,ok
EES0423318__X21__Y03__P003.jpg,0.864839,21.213659,ok
EES0423318__X2D__Y06__P004.jpg,0.860770,21.279298,ok
EES0423318__X30__Y06__P005.jpg,0.885388,22.475350,ok
EES0423318__X06__Y18__P006.jpg,0.896742,22.257710,ok
EES0423318__X18__Y3F__P007.jpg,0.878100,21.124659,ok
EES0423318__X1B__Y3F__P008.jpg,0.885778,22.411372,ok
EES0423318__X1B__Y45__P009.jpg,0.849613,21.439272,ok
EES0423318__X24__Y3F__P010.jpg,0.883488,22.064685,ok
EES0423318__X45__Y1B__P011.jpg,0.897174,22.025977,ok
EES0423318__X30__Y42__P012.jpg,0.874930,21.356679,ok
EES0423318__X42__Y33__P013.jpg,0.899927,22.027922,ok
EES0423318__X42__Y45__P014.jpg,0.807322,20.938565,ok
EES0423318__X18__Y30__P015.jpg,0.887828,21.297747,ok
EES0423318__X18__Y33__P016.jpg,0.886312,23.139235,ok
EES0423318__X21__Y42__P017.jpg,0.858888,21.280754,ok
EES0423318__X27__Y45__P018.jpg,0.846924,21.834678,ok
EES0423318__X36__Y42__P019.jpg,0.787166,20.644045,ok
EES0423318__X36__Y45__P020.jpg,0.850873,21.563721,ok
EES0423318__X3F__Y1B__P021.jpg,0.821380,21.101464,ok
EES0423318__X42__Y42__P022.jpg,0.838228,20.867725,ok
EES0423318__X09__Y12__P023.jpg,0.880326,21.494311,ok
EES0423318__X09__Y15__P024.jpg,0.888039,22.755602,ok
EES0423318__X0C__Y0F__P025.jpg,0.874893,22.138744,ok
EES0423319__X48__Y3F__P001.jpg,0.896603,21.286657,ok
EES0423319__X48__Y42__P002.jpg,0.864120,23.236896,ok
EES0423319__X06__Y0F__P003.jpg,0.807380,22.433514,ok
EES0423319__X06__Y12__P004.jpg,0.904711,23.070440,ok
EES0423319__X06__Y15__P005.jpg,0.883107,24.121346,ok
EES0423319__X06__Y27__P006.jpg,0.831271,21.025390,ok
EES0423319__X06__Y2A__P007.jpg,0.903162,20.944510,ok
EES0423319__X06__Y2D__P008.jpg,0.871218,21.566865,ok
EES0423319__X06__Y30__P009.jpg,0.884621,21.430083,ok
EES0423319__X09__Y33__P010.jpg,0.912332,23.637641,ok
EES0423319__X12__Y3C__P011.jpg,0.747138,19.641513,ok
EES0423319__X18__Y3F__P012.jpg,0.901614,22.036798,ok
EES0423319__X1B__Y03__P013.jpg,0.817089,20.576114,ok
EES0423319__X1B__Y06__P014.jpg,0.908743,22.120865,ok
EES0423319__X1E__Y03__P015.jpg,0.900109,21.997551,ok
EES0423319__X21__Y03__P016.jpg,0.858487,23.875832,ok
EES0423319__X21__Y42__P017.jpg,0.906772,23.448210,ok
EES0423319__X24__Y03__P018.jpg,0.909780,23.523819,ok
EES0423319__X24__Y42__P019.jpg,0.853342,21.615971,ok
EES0423319__X2A__Y06__P020.jpg,0.896809,21.508478,ok
EES0423319__X2D__Y06__P021.jpg,0.862769,22.204415,ok
EES0423319__X48__Y06__P022.jpg,0.701200,19.484606,ok
EES0423319__X48__Y09__P023.jpg,0.848632,21.336332,ok
EES0423319__X48__Y0C__P024.jpg,0.788005,21.577547,ok
EES0423319__X48__Y0F__P025.jpg,0.793927,21.228296,ok
EES0423320__X48__Y12__P001.jpg,0.901194,21.986754,ok
EES0423320__X48__Y15__P002.jpg,0.912315,23.904597,ok
EES0423320__X48__Y18__P003.jpg,0.891441,21.321560,ok
EES0423320__X48__Y1B__P004.jpg,0.906384,23.944643,ok
EES0423320__X48__Y1E__P005.jpg,0.903548,22.902474,ok
EES0423320__X48__Y21__P006.jpg,0.912520,23.692313,ok
EES0423320__X48__Y24__P007.jpg,0.908806,23.179721,ok
EES0423320__X48__Y2A__P008.jpg,0.912420,23.558549,ok
EES0423320__X48__Y2D__P009.jpg,0.902063,24.881719,ok
EES0423320__X48__Y30__P010.jpg,0.912471,24.023665,ok
EES0423320__X48__Y33__P011.jpg,0.914198,23.960041,ok
EES0423320__X48__Y36__P012.jpg,0.895386,21.544280,ok
EES0423320__X48__Y39__P013.jpg,0.910853,23.783394,ok
EES0423320__X48__Y3C__P014.jpg,0.906601,22.128579,ok
EES0423320__X48__Y3F__P015.jpg,0.911707,23.750340,ok
EES0423320__X48__Y42__P016.jpg,0.910360,23.733450,ok
EES0423320__X48__Y45__P017.jpg,0.904573,23.801133,ok
EES0423320__X03__Y33__P018.jpg,0.904898,21.304807,ok
EES0423320__X06__Y33__P019.jpg,0.891038,20.968487,ok
EES0423320__X09__Y36__P020.jpg,0.850271,20.477648,ok
EES0423320__X0C__Y36__P021.jpg,0.907836,23.719005,ok
EES0423320__X39__Y45__P022.jpg,0.904177,22.884901,ok
EES0423320__X45__Y30__P023.jpg,0.904141,22.953247,ok
EES0423320__X48__Y06__P024.jpg,0.895382,24.742481,ok
EES0423320__X48__Y09__P025.jpg,0.909788,23.643831,ok
EES0423321__X48__Y0C__P001.jpg,0.866139,20.422968,ok
EES0423321__X48__Y0F__P002.jpg,0.896607,21.889350,ok
EES0423321__X48__Y12__P003.jpg,0.904017,24.878434,ok
EES0423321__X48__Y15__P004.jpg,0.899292,24.406678,ok
EES0423321__X48__Y1B__P005.jpg,0.818697,20.660116,ok
EES0423321__X48__Y1E__P006.jpg,0.888506,21.644615,ok
EES0423321__X48__Y21__P007.jpg,0.903942,24.957054,ok
EES0423321__X48__Y24__P008.jpg,0.905988,24.002466,ok
EES0423321__X48__Y2A__P009.jpg,0.892168,24.309403,ok
EES0423321__X48__Y2D__P010.jpg,0.835597,22.961221,ok
EES0423321__X48__Y30__P011.jpg,0.905441,24.357192,ok
EES0423321__X48__Y33__P012.jpg,0.797018,20.533320,ok
EES0423321__X48__Y36__P013.jpg,0.897465,24.148903,ok
EES0423321__X48__Y39__P014.jpg,0.889034,24.785264,ok
EES0423321__X1E__Y03__P015.jpg,0.885173,22.803177,ok
EES0423321__X21__Y03__P016.jpg,0.838576,21.285088,ok
EES0423321__X21__Y06__P017.jpg,0.897809,24.908226,ok
EES0423321__X24__Y03__P018.jpg,0.899340,24.053977,ok
EES0423321__X27__Y03__P019.jpg,0.906616,25.114651,ok
EES0423321__X2A__Y03__P020.jpg,0.904256,24.280110,ok
EES0423321__X42__Y21__P021.jpg,0.900146,24.199592,ok
EES0423321__X18__Y06__P022.jpg,0.903155,21.010470,ok
EES0423321__X1E__Y42__P023.jpg,0.906548,22.472177,ok
EES0423321__X21__Y06__P024.jpg,0.900683,25.099002,ok
EES0423321__X21__Y42__P025.jpg,0.863827,21.091023,ok
EES0423322__X24__Y42__P001.jpg,0.901531,23.264749,ok
EES0423322__X39__Y15__P002.jpg,0.785974,22.432878,ok
EES0423322__X39__Y33__P003.jpg,0.829132,20.237272,ok
EES0423322__X1B__Y42__P004.jpg,0.862399,20.614108,ok
EES0423322__X2A__Y30__P005.jpg,0.906283,23.382236,ok
EES0423322__X2A__Y33__P006.jpg,0.898463,22.055834,ok
