filename,ssim,psnr,status
EES0423314__X45__Y2D__P020.jpg,0.742115,15.420450,ok
EES0423314__X45__Y30__P021.jpg,0.841306,18.526725,ok
EES0423314__X18__Y39__P022.jpg,0.722592,16.606230,ok
EES0423314__X1B__Y0C__P023.jpg,0.670857,15.206530,ok
EES0423314__X1E__Y09__P024.jpg,0.853101,18.365329,ok
EES0423314__X2A__Y06__P025.jpg,0.847298,19.896590,ok
EES0423315__X27__Y42__P001.jpg,0.769933,15.918256,ok
EES0423315__X2A__Y42__P002.jpg,0.757519,15.551052,ok
EES0423315__X2D__Y42__P003.jpg,0.737503,15.788050,ok
EES0423315__X30__Y3F__P004.jpg,0.701284,15.065111,ok
EES0423315__X30__Y42__P005.jpg,0.897320,20.502862,ok
EES0423315__X33__Y3F__P006.jpg,0.736340,15.038703,ok
EES0423315__X33__Y42__P007.jpg,0.714730,15.606462,ok
EES0423315__X36__Y3F__P008.jpg,0.866522,19.259612,ok
EES0423315__X36__Y42__P009.jpg,0.734821,15.738915,ok
EES0423315__X36__Y45__P010.jpg,0.826607,17.502943,ok
EES0423315__X39__Y3C__P011.jpg,0.685903,13.704195,ok
EES0423315__X39__Y45__P012.jpg,0.718375,15.318427,ok
EES0423315__X3C__Y0C__P013.jpg,0.817860,17.108251,ok
EES0423315__X3C__Y39__P014.jpg,0.596451,13.250900,ok
EES0423315__X3C__Y45__P015.jpg,0.801944,17.380461,ok
EES0423315__X3F__Y0F__P016.jpg,0.859402,19.464614,ok
EES0423315__X3F__Y39__P017.jpg,0.921426,23.396916,ok
EES0423315__X3F__Y42__P018.jpg,0.861895,19.826213,ok
EES0423315__X42__Y12__P019.jpg,0.857813,18.679288,ok
EES0423315__X42__Y15__P020.jpg,0.774345,16.016720,ok
EES0423315__X42__Y33__P021.jpg,0.687870,14.459694,ok
EES0423315__X42__Y42__P022.jpg,0.835188,18.076793,ok
EES0423315__X42__Y45__P023.jpg,0.797280,16.648820,ok
EES0423315__X45__Y15__P024.jpg,0.806345,17.393061,ok
EES0423315__X45__Y18__P025.jpg,0.769545,15.841490,ok
EES0423316__X45__Y1E__P001.jpg,0.787914,16.023216,ok
EES0423316__X45__Y2A__P002.jpg,0.656130,12.926293,ok
EES0423316__X45__Y39__P003.jpg,0.843778,17.744856,ok
EES0423316__X45__Y42__P004.jpg,0.895151,21.419893,ok
EES0423316__X48__Y1E__P005.jpg,0.873567,19.558286,ok
EES0423316__X48__Y21__P006.jpg,0.821370,18.518307,ok
EES0423316__X48__Y27__P007.jpg,0.841361,20.280928,ok
EES0423316__X48__Y2D__P008.jpg,0.873731,20.924800,ok
EES0423316__X48__Y3F__P009.jpg,0.821003,17.648652,ok
EES0423316__X48__Y42__P010.jpg,0.910910,22.839804,ok
EES0423316__X15__Y21__P011.jpg,0.760579,15.823841,ok
EES0423316__X15__Y27__P012.jpg,0.805562,17.013268,ok
EES0423316__X18__Y18__P013.jpg,0.752215,17.236982,ok
EES0423316__X18__Y21__P014.jpg,0.803344,16.924084,ok
EES0423316__X18__Y2A__P015.jpg,0.648637,13.899516,ok
EES0423316__X1B__Y0C__P016.jpg,0.931009,23.061206,ok
EES0423316__X1E__Y30__P017.jpg,0.760219,16.543899,ok
EES0423316__X21__Y36__P018.jpg,0.770677,16.362541,ok
EES0423316__X27__Y15__P019.jpg,0.734302,15.511497,ok
EES0423316__X33__Y09__P020.jpg,0.883211,20.660166,ok
EES0423316__X39__Y12__P021.jpg,0.689970,14.228848,ok
EES0423316__X45__Y2D__P022.jpg,0.798590,17.505738,ok
EES0423316__X48__Y24__P023.jpg,0.919603,23.116826,ok
EES0423316__X48__Y27__P024.jpg,0.909851,22.495559,ok
EES0423316__X15__Y1E__P025.jpg,0.665269,14.180698,ok
EES0423317__X42__Y30__P001.jpg,0.558253,12.163040,ok
EES0423317__X42__Y39__P002.jpg,0.792319,15.661570,ok
EES0423317__X42__Y3C__P003.jpg,0.799357,16.776280,ok
EES0423317__X45__Y15__P004.jpg,0.829947,18.795788,ok
EES0423317__X45__Y33__P005.jpg,0.535399,11.557158,ok
EES0423317__X45__Y36__P006.jpg,0.902645,21.539049,ok
EES0423317__X48__Y24__P007.jpg,0.637705,13.585894,ok
EES0423317__X48__Y2A__P008.jpg,0.637077,13.888399,ok
EES0423317__X48__Y30__P009.jpg,0.830967,17.522895,ok
EES0423317__X09__Y1E__P010.jpg,0.799847,16.777467,ok
EES0423317__X09__Y2A__P011.jpg,0.798240,17.795815,ok
EES0423317__X0C__Y15__P012.jpg,0.817196,17.630409,ok
EES0423317__X0C__Y2D__P013.jpg,0.590810,13.132264,ok
EES0423317__X0C__Y30__P014.jpg,0.777926,17.311517,ok
EES0423317__X0C__Y33__P015.jpg,0.916627,22.185051,ok
EES0423317__X0F__Y0F__P016.jpg,0.853795,18.928909,ok
EES0423317__X0F__Y12__P017.jpg,0.884683,20.393919,ok
EES0423317__X0F__Y33__P018.jpg,0.568743,13.002708,ok
EES0423317__X0F__Y36__P019.jpg,0.825396,17.983910,ok
EES0423317__X12__Y0C__P020.jpg,0.831776,18.190208,ok
EES0423317__X12__Y36__P021.jpg,0.581706,13.193644,ok
EES0423317__X12__Y39__P022.jpg,0.793323,16.259796,ok
EES0423317__X15__Y09__P023.jpg,0.850677,20.596110,ok
EES0423317__X18__Y09__P024.jpg,0.691392,15.156061,ok
EES0423317__X18__Y3C__P025.jpg,0.498261,12.251460,ok
EES0423318__X18__Y3F__P001.jpg,0.828370,20.901941,ok
EES0423318__X1E__Y03__P002.jpg,0.952061,30.018258,ok
EES0423318__X21__Y03__P003.jpg,0.956747,30.577601,ok
EES0423318__X2D__Y06__P004.jpg,0.939184,27.470098,ok
EES0423318__X30__Y06__P005.jpg,0.962711,32.477824,ok
EES0423318__X06__Y18__P006.jpg,0.967035,33.250678,ok
EES0423318__X18__Y3F__P007.jpg,0.894330,25.501772,ok
EES0423318__X1B__Y3F__P008.jpg,0.827762,21.237157,ok
EES0423318__X1B__Y45__P009.jpg,0.931100,26.874840,ok
EES0423318__X24__Y3F__P010.jpg,0.859585,22.811462,ok
EES0423318__X45__Y1B__P011.jpg,0.928118,26.081842,ok
EES0423318__X30__Y42__P012.jpg,0.928276,27.450507,ok
EES0423318__X42__Y33__P013.jpg,0.947668,30.364670,ok
EES0423318__X42__Y45__P014.jpg,0.952497,33.177597,ok
EES0423318__X18__Y30__P015.jpg,0.866829,21.994875,ok
EES0423318__X18__Y33__P016.jpg,0.915917,26.136852,ok
EES0423318__X21__Y42__P017.jpg,0.937441,27.959390,ok
EES0423318__X27__Y45__P018.jpg,0.929528,28.062294,ok
EES0423318__X36__Y42__P019.jpg,0.960019,32.322143,ok
EES0423318__X36__Y45__P020.jpg,0.961732,33.022119,ok
EES0423318__X3F__Y1B__P021.jpg,0.874915,24.673276,ok
EES0423318__X42__Y42__P022.jpg,0.956824,32.716533,ok
EES0423318__X09__Y12__P023.jpg,0.915397,27.646322,ok
EES0423318__X09__Y15__P024.jpg,0.869599,22.767604,ok
EES0423318__X0C__Y0F__P025.jpg,0.913372,29.638456,ok
EES0423319__X48__Y3F__P001.jpg,0.961132,33.332660,ok
EES0423319__X48__Y42__P002.jpg,0.963053,33.502025,ok
EES0423319__X06__Y0F__P003.jpg,0.875888,23.968090,ok
EES0423319__X06__Y12__P004.jpg,0.914242,26.175688,ok
EES0423319__X06__Y15__P005.jpg,0.650543,17.961910,ok
EES0423319__X06__Y27__P006.jpg,0.744123,19.473653,ok
EES0423319__X06__Y2A__P007.jpg,0.742024,19.392451,ok
EES0423319__X06__Y2D__P008.jpg,0.751984,19.590839,ok
EES0423319__X06__Y30__P009.jpg,0.828612,19.853115,ok
EES0423319__X09__Y33__P010.jpg,0.877613,24.831566,ok
EES0423319__X12__Y3C__P011.jpg,0.955461,32.759140,ok
EES0423319__X18__Y3F__P012.jpg,0.963446,33.534698,ok
EES0423319__X1B__Y03__P013.jpg,0.901319,27.689035,ok
EES0423319__X1B__Y06__P014.jpg,0.636031,17.664243,ok
EES0423319__X1E__Y03__P015.jpg,0.941616,29.782737,ok
EES0423319__X21__Y03__P016.jpg,0.910501,25.776719,ok
EES0423319__X21__Y42__P017.jpg,0.922384,27.908203,ok
EES0423319__X24__Y03__P018.jpg,0.924859,25.073018,ok
EES0423319__X24__Y42__P019.jpg,0.876293,26.502929,ok
EES0423319__X2A__Y06__P020.jpg,0.943145,28.362724,ok
EES0423319__X2D__Y06__P021.jpg,0.964696,33.751576,ok
EES0423319__X48__Y06__P022.jpg,0.962153,33.862412,ok
EES0423319__X48__Y09__P023.jpg,0.960397,33.652054,ok
EES0423319__X48__Y0C__P024.jpg,0.963762,34.115987,ok
EES0423319__X48__Y0F__P025.jpg,0.965926,34.207581,ok
EES0423320__X48__Y12__P001.jpg,0.965545,34.264929,ok
EES0423320__X48__Y15__P002.jpg,0.964996,34.208102,ok
EES0423320__X48__Y18__P003.jpg,0.965176,34.095644,ok
EES0423320__X48__Y1B__P004.jpg,0.955855,33.329728,ok
EES0423320__X48__Y1E__P005.jpg,0.961971,33.944040,ok
EES0423320__X48__Y21__P006.jpg,0.965907,33.363061,ok
EES0423320__X48__Y24__P007.jpg,0.968528,34.330268,ok
EES0423320__X48__Y2A__P008.jpg,0.965103,34.179788,ok
EES0423320__X48__Y2D__P009.jpg,0.963418,33.794929,ok
EES0423320__X48__Y30__P010.jpg,0.967109,34.372816,ok
EES0423320__X48__Y33__P011.jpg,0.962941,33.835080,ok
EES0423320__X48__Y36__P012.jpg,0.963837,33.990323,ok
EES0423320__X48__Y39__P013.jpg,0.965470,34.313739,ok
EES0423320__X48__Y3C__P014.jpg,0.962947,34.236447,ok
EES0423320__X48__Y3F__P015.jpg,0.962098,34.094757,ok
EES0423320__X48__Y42__P016.jpg,0.962454,34.142029,ok
EES0423320__X48__Y45__P017.jpg,0.953058,33.333604,ok
EES0423320__X03__Y33__P018.jpg,0.955543,29.917947,ok
EES0423320__X06__Y33__P019.jpg,0.946458,30.340745,ok
EES0423320__X09__Y36__P020.jpg,0.958049,32.322523,ok
EES0423320__X0C__Y36__P021.jpg,0.901593,26.041040,ok
EES0423320__X39__Y45__P022.jpg,0.954982,31.983543,ok
EES0423320__X45__Y30__P023.jpg,0.949800,30.537902,ok
EES0423320__X48__Y06__P024.jpg,0.960989,34.047895,ok
EES0423320__X48__Y09__P025.jpg,0.961138,33.733788,ok
EES0423321__X48__Y0C__P001.jpg,0.961447,33.965937,ok
EES0423321__X48__Y0F__P002.jpg,0.960834,33.790410,ok
EES0423321__X48__Y12__P003.jpg,0.960572,33.239204,ok
EES0423321__X48__Y15__P004.jpg,0.961698,33.611597,ok
EES0423321__X48__Y1B__P005.jpg,0.961097,34.008039,ok
EES0423321__X48__Y1E__P006.jpg,0.957561,33.451894,ok
EES0423321__X48__Y21__P007.jpg,0.958127,33.326493,ok
EES0423321__X48__Y24__P008.jpg,0.955087,32.735026,ok
EES0423321__X48__Y2A__P009.jpg,0.916980,28.389734,ok
EES0423321__X48__Y2D__P010.jpg,0.952616,31.794943,ok
EES0423321__X48__Y30__P011.jpg,0.927392,29.560404,ok
EES0423321__X48__Y33__P012.jpg,0.944853,31.176674,ok
EES0423321__X48__Y36__P013.jpg,0.965017,33.446344,ok
EES0423321__X48__Y39__P014.jpg,0.960527,33.051458,ok
EES0423321__X1E__Y03__P015.jpg,0.964865,34.382975,ok
EES0423321__X21__Y03__P016.jpg,0.956025,33.309330,ok
EES0423321__X21__Y06__P017.jpg,0.854195,22.387505,ok
EES0423321__X24__Y03__P018.jpg,0.954657,33.348413,ok
EES0423321__X27__Y03__P019.jpg,0.962145,34.054356,ok
EES0423321__X2A__Y03__P020.jpg,0.961769,33.921846,ok
EES0423321__X42__Y21__P021.jpg,0.892886,22.727312,ok
EES0423321__X18__Y06__P022.jpg,0.810934,20.383778,ok
EES0423321__X1E__Y42__P023.jpg,0.911691,25.065522,ok
EES0423321__X21__Y06__P024.jpg,0.746769,19.309536,ok
EES0423321__X21__Y42__P025.jpg,0.838797,20.726449,ok
EES0423322__X24__Y42__P001.jpg,0.961729,32.799296,ok
EES0423322__X39__Y15__P002.jpg,0.916165,28.725004,ok
EES0423322__X39__Y33__P003.jpg,0.873471,24.824824,ok
EES0423322__X1B__Y42__P004.jpg,0.788204,19.714001,ok
EES0423322__X2A__Y30__P005.jpg,0.718944,17.129291,ok
EES0423322__X2A__Y33__P006.jpg,0.835423,20.578155,ok
EES0423322__X2A__Y39__P007.jpg,0.807353,19.686538,ok
EES0423322__X2A__Y45__P008.jpg,0.892464,22.751475,ok
EES0423322__X2D__Y30__P009.jpg,0.743654,18.224149,ok
EES0423322__X2D__Y33__P010.jpg,0.652123,16.594324,ok
EES0423322__X2D__Y39__P011.jpg,0.797186,19.882649,ok
EES0423322__X30__Y2A__P012.jpg,0.771354,18.905450,ok
EES0423322__X36__Y30__P013.jpg,0.782644,18.417905,ok
EES0423322__X36__Y39__P014.jpg,0.907413,24.292655,ok
EES0423322__X39__Y33__P015.jpg,0.823266,20.429831,ok
EES0423322__X48__Y06__P016.jpg,0.962010,34.003875,ok
EES0423322__X48__Y09__P017.jpg,0.960985,33.789327,ok
EES0423322__X48__Y0C__P018.jpg,0.961361,33.955436,ok
EES0423322__X48__Y0F__P019.jpg,0.962567,33.732061,ok
EES0423322__X48__Y12__P020.jpg,0.963870,34.312096,ok
EES0423322__X48__Y15__P021.jpg,0.951680,33.126529,ok
EES0423322__X48__Y18__P022.jpg,0.961509,33.681979,ok
EES0423322__X48__Y1B__P023.jpg,0.962071,33.969912,ok
EES0423322__X48__Y1E__P024.jpg,0.963527,34.250863,ok
EES0423322__X48__Y21__P025.jpg,0.966515,34.324780,ok
EES0423323__X12__Y0F__P001.jpg,0.885834,23.217308,ok
EES0423323__X12__Y27__P002.jpg,0.763516,18.059328,ok
EES0423323__X12__Y2A__P003.jpg,0.610177,15.898165,ok
EES0423323__X15__Y0C__P004.jpg,0.909824,24.863647,ok
EES0423323__X18__Y0F__P005.jpg,0.814517,20.139735,ok
EES0423323__X33__Y1E__P006.jpg,0.604056,16.452475,ok
EES0423323__X03__Y18__P007.jpg,0.924733,25.646728,ok
EES0423323__X03__Y1B__P008.jpg,0.940016,28.672304,ok
EES0423323__X24__Y45__P009.jpg,0.808511,20.248109,ok
EES0423323__X27__Y06__P010.jpg,0.930512,26.172560,ok
EES0423323__X27__Y45__P011.jpg,0.891228,23.030905,ok
EES0423323__X2A__Y06__P012.jpg,0.894438,23.976570,ok
EES0423323__X2A__Y45__P013.jpg,0.876618,22.814147,ok
EES0423323__X2D__Y45__P014.jpg,0.944383,27.739261,ok
EES0423323__X30__Y48__P015.jpg,0.941104,26.781812,ok
EES0423323__X33__Y42__P016.jpg,0.949370,29.710633,ok
EES0423323__X36__Y09__P017.jpg,0.949159,29.984020,ok
EES0423323__X3F__Y1B__P018.jpg,0.906836,24.414244,ok
EES0423323__X42__Y2A__P019.jpg,0.935836,27.273175,ok
EES0423323__X42__Y2D__P020.jpg,0.906092,25.138336,ok
EES0423323__X45__Y18__P021.jpg,0.922613,23.412618,ok
EES0423323__X45__Y1B__P022.jpg,0.945669,29.113138,ok
EES0423323__X45__Y21__P023.jpg,0.954623,30.737705,ok
EES0423323__X45__Y2D__P024.jpg,0.945028,28.379597,ok
EES0423323__X06__Y0C__P025.jpg,0.955126,33.528914,ok
EES0423324__X06__Y18__P001.jpg,0.868917,25.020562,ok
EES0423324__X06__Y1B__P002.jpg,0.962146,32.570977,ok
EES0423324__X06__Y1E__P003.jpg,0.893026,25.776768,ok
EES0423324__X06__Y21__P004.jpg,0.842171,23.610935,ok
EES0423324__X06__Y24__P005.jpg,0.932380,27.669556,ok
EES0423324__X06__Y27__P006.jpg,0.796968,19.771193,ok
EES0423324__X06__Y2A__P007.jpg,0.912845,27.120622,ok
EES0423324__X06__Y2D__P008.jpg,0.817807,21.423951,ok
EES0423324__X06__Y30__P009.jpg,0.868826,22.288512,ok
EES0423324__X06__Y33__P010.jpg,0.781263,20.680718,ok
EES0423324__X06__Y36__P011.jpg,0.934003,25.857932,ok
EES0423324__X09__Y15__P012.jpg,0.859093,23.012175,ok
EES0423324__X09__Y18__P013.jpg,0.837637,22.124492,ok
EES0423324__X09__Y1B__P014.jpg,0.904875,24.555022,ok
EES0423324__X09__Y30__P015.jpg,0.861633,22.652835,ok
EES0423324__X09__Y33__P016.jpg,0.918884,26.117721,ok
EES0423324__X09__Y36__P017.jpg,0.945278,28.704269,ok
EES0423324__X09__Y39__P018.jpg,0.921203,25.535997,ok
EES0423324__X0C__Y0F__P019.jpg,0.960658,33.170004,ok
EES0423324__X0C__Y12__P020.jpg,0.916010,25.916060,ok
EES0423324__X0C__Y39__P021.jpg,0.943891,31.623409,ok
EES0423324__X0F__Y0F__P022.jpg,0.920723,27.282417,ok
EES0423324__X12__Y42__P023.jpg,0.924526,26.321139,ok
EES0423324__X15__Y09__P024.jpg,0.916017,28.078999,ok
EES0423324__X15__Y0C__P025.jpg,0.879573,24.748345,ok
EES0423325__X15__Y42__P001.jpg,0.880697,23.383969,ok
EES0423325__X18__Y09__P002.jpg,0.818787,22.406335,ok
EES0423325__X1B__Y45__P003.jpg,0.917214,25.979937,ok
EES0423325__X1E__Y45__P004.jpg,0.851891,24.490145,ok
EES0423325__X21__Y06__P005.jpg,0.858527,20.739505,ok
EES0423325__X21__Y45__P006.jpg,0.879292,23.493733,ok
EES0423325__X24__Y06__P007.jpg,0.863976,23.045241,ok
EES0423325__X24__Y45__P008.jpg,0.744703,20.758599,ok
EES0423325__X27__Y06__P009.jpg,0.961499,32.386710,ok
EES0423325__X42__Y2D__P010.jpg,0.913131,25.853981,ok
EES0423325__X45__Y2D__P011.jpg,0.902478,19.821073,ok
EES0423325__X48__Y06__P012.jpg,0.959515,33.832743,ok
EES0423325__X48__Y09__P013.jpg,0.960228,33.809506,ok
EES0423325__X48__Y0C__P014.jpg,0.965695,34.333198,ok
EES0423325__X48__Y0F__P015.jpg,0.954384,33.360192,ok
EES0423325__X48__Y12__P016.jpg,0.952215,32.962984,ok
EES0423325__X48__Y15__P017.jpg,0.961508,33.678863,ok
EES0423325__X48__Y18__P018.jpg,0.957463,33.085612,ok
EES0423325__X48__Y1B__P019.jpg,0.964182,33.560756,ok
EES0423325__X48__Y1E__P020.jpg,0.962811,33.303430,ok
EES0423325__X48__Y2A__P021.jpg,0.956621,32.165865,ok
EES0423325__X48__Y30__P022.jpg,0.958770,32.875672,ok
EES0423325__X48__Y33__P023.jpg,0.961449,33.722470,ok
EES0423325__X48__Y36__P024.jpg,0.961126,33.753709,ok
EES0423325__X48__Y39__P025.jpg,0.960257,33.754383,ok
EES0423326__X48__Y3C__P001.jpg,0.957474,33.427382,ok
EES0423326__X48__Y3F__P002.jpg,0.957720,33.592100,ok
EES0423326__X48__Y42__P003.jpg,0.957834,34.021656,ok
EES0423326__X48__Y45__P004.jpg,0.957422,33.879831,ok
EES0423326__X48__Y48__P005.jpg,0.957809,33.309686,ok
EES0423326__X03__Y27__P006.jpg,0.611349,15.404026,ok
EES0423326__X03__Y2D__P007.jpg,0.791774,19.955120,ok
EES0423326__X03__Y30__P008.jpg,0.836574,19.759499,ok
EES0423326__X03__Y39__P009.jpg,0.963662,33.565015,ok
EES0423326__X03__Y3C__P010.jpg,0.960389,32.701019,ok
EES0423326__X06__Y33__P011.jpg,0.732327,17.808276,ok
EES0423326__X06__Y36__P012.jpg,0.918331,25.519653,ok
EES0423326__X0C__Y0C__P013.jpg,0.926669,29.605107,ok
EES0423326__X0F__Y3F__P014.jpg,0.852707,23.708724,ok
EES0423326__X15__Y42__P015.jpg,0.788963,21.843999,ok
EES0423326__X1B__Y42__P016.jpg,0.691742,16.100056,ok
EES0423326__X27__Y45__P017.jpg,0.965276,33.625026,ok
EES0423326__X2A__Y03__P018.jpg,0.929844,30.186255,ok
EES0423326__X2A__Y45__P019.jpg,0.959060,30.189945,ok
EES0423326__X30__Y03__P020.jpg,0.883999,28.806720,ok
EES0423326__X33__Y06__P021.jpg,0.838051,24.848941,ok
EES0423326__X36__Y06__P022.jpg,0.883217,27.844913,ok
EES0423326__X3C__Y15__P023.jpg,0.897099,29.681123,ok
EES0423326__X3F__Y18__P024.jpg,0.863506,25.872063,ok
EES0423326__X42__Y2A__P025.jpg,0.842291,25.858568,ok
EES0423327__X0C__Y06__P001.jpg,0.957334,32.326304,ok
EES0423327__X0C__Y1E__P002.jpg,0.883834,21.962846,ok
EES0423327__X0C__Y21__P003.jpg,0.936620,27.275576,ok
EES0423327__X15__Y12__P004.jpg,0.956696,33.348912,ok
EES0423327__X18__Y0F__P005.jpg,0.899098,25.989735,ok
EES0423327__X18__Y15__P006.jpg,0.807703,20.961376,ok
EES0423327__X1B__Y15__P007.jpg,0.888297,24.289584,ok
EES0423327__X1E__Y15__P008.jpg,0.872611,23.026290,ok
EES0423327__X21__Y09__P009.jpg,0.944769,28.304872,ok
EES0423327__X21__Y15__P010.jpg,0.785448,18.898699,ok
EES0423327__X24__Y09__P011.jpg,0.864096,21.629990,ok
EES0423327__X24__Y18__P012.jpg,0.879541,21.984040,ok
EES0423327__X24__Y1B__P013.jpg,0.861386,23.438748,ok
EES0423327__X36__Y1B__P014.jpg,0.865890,23.576372,ok
EES0423327__X06__Y1E__P015.jpg,0.890620,22.028214,ok
EES0423327__X06__Y21__P016.jpg,0.925956,28.936056,ok
