filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.767315,23.173845,ok
EES0423311__X15__Y06__P002.jpg,0.787240,24.589437,ok
EES0423311__X15__Y09__P003.jpg,0.707758,19.785224,ok
EES0423311__X15__Y39__P004.jpg,0.729226,20.768509,ok
EES0423311__X18__Y06__P005.jpg,0.799207,24.201823,ok
EES0423311__X18__Y3C__P006.jpg,0.799711,23.220705,ok
EES0423311__X1B__Y3F__P007.jpg,0.830862,21.600105,ok
EES0423311__X1E__Y03__P008.jpg,0.706261,19.690984,ok
EES0423311__X1E__Y3F__P009.jpg,0.757045,22.521090,ok
EES0423311__X24__Y42__P010.jpg,0.759365,19.245063,ok
EES0423311__X27__Y42__P011.jpg,0.742061,18.816113,ok
EES0423311__X2A__Y42__P012.jpg,0.747173,20.427838,ok
EES0423311__X2D__Y42__P013.jpg,0.766726,23.275117,ok
EES0423311__X33__Y3F__P014.jpg,0.746596,23.282268,ok
EES0423311__X36__Y3F__P015.jpg,0.720649,17.635278,ok
EES0423311__X39__Y06__P016.jpg,0.767077,22.210058,ok
EES0423311__X39__Y3C__P017.jpg,0.867924,31.146912,ok
EES0423311__X3C__Y09__P018.jpg,0.838454,25.213632,ok
EES0423311__X3C__Y39__P019.jpg,0.812637,25.010852,ok
EES0423311__X3F__Y0C__P020.jpg,0.796533,25.854973,ok
EES0423311__X3F__Y36__P021.jpg,0.742276,23.127322,ok
EES0423311__X42__Y0F__P022.jpg,0.729812,19.097638,ok
EES0423311__X42__Y33__P023.jpg,0.647972,18.649441,ok
EES0423311__X45__Y15__P024.jpg,0.770738,25.258025,ok
EES0423311__X45__Y2A__P025.jpg,0.739079,21.758748,ok
EES0423312__X12__Y1E__P001.jpg,0.647515,18.072576,ok
EES0423312__X12__Y21__P002.jpg,0.781083,22.626121,ok
EES0423312__X12__Y24__P003.jpg,0.759815,19.887107,ok
EES0423312__X12__Y27__P004.jpg,0.808642,26.697310,ok
EES0423312__X12__Y2A__P005.jpg,0.750623,20.711402,ok
EES0423312__X12__Y2D__P006.jpg,0.745378,18.546468,ok
EES0423312__X12__Y30__P007.jpg,0.833135,23.596557,ok
EES0423312__X12__Y33__P008.jpg,0.856508,25.222752,ok
EES0423312__X15__Y0F__P009.jpg,0.814908,21.448932,ok
EES0423312__X15__Y12__P010.jpg,0.765908,21.612393,ok
EES0423312__X15__Y33__P011.jpg,0.806812,22.966360,ok
EES0423312__X18__Y0C__P012.jpg,0.716405,18.743237,ok
EES0423312__X18__Y36__P013.jpg,0.724488,18.391463,ok
EES0423312__X18__Y39__P014.jpg,0.840424,24.634935,ok
EES0423312__X18__Y42__P015.jpg,0.879605,27.376740,ok
